GO_BP	Gene_Size	Gene_List
GO:0006919:activation of cysteine-type endopeptidase activity involved in apoptotic process	86	ACER2,AIFM1,ANP32B,APAF1,ATP2A3,BAD,BAX,BBC3,BCL2L10,BCL2L13,BEX3,BID,BOK,CARD8,CASP1,CASP10,CASP12,CASP4,CASP5,CASP8,CASP8AP2,CASP9,CCK,CFLAR,COL4A3,CRADD,CTSH,DAP,DIABLO,DLC1,EGLN3,EIF2AK3,F2R,F3,F5H697,FADD,FAM162A,FAS,FASLG,HIP1,HIP1R,HSPD1,HSPE1,IFT57,JAK2,KHDC1,KHDC1L,LCK,MAPT,MTCH1,MUL1,NGF,NGFR,NKX3-1,NLRC4,NLRP1,NLRP12,NLRP3,NOD1,P2RX1,PDCD2,PDCD6,PIDD1,PMAIP1,PML,PPARG,PYCARD,RACK1,RIPK1,ROBO1,RPS27L,S100A8,S100A9,SENP1,SMAD3,SNCA,ST20,TNF,TNFRSF10A,TNFRSF10B,TNFSF10,TNFSF15,TRADD,TRAF2,VCP,XDH
GO:0006921:cellular component disassembly involved in execution phase of apoptosis	2	BOK,CAPN10
GO:0006924:activation-induced cell death of T cells	4	AKT1,DNAJA3,FAS,IL2RA
GO:0006925:inflammatory cell apoptotic process	2	FASLG,ZMPSTE24
GO:0006929:substrate-dependent cell migration	7	ANKS1A,CSPG4,EPHA8,FMNL1,ITGA11,ITGA2,VEGFC
GO:0006930:substrate-dependent cell migration, cell extension	10	CD2AP,CTTN,MYH10,NCK1,NRP1,NTN1,OPHN1,P2RY12,SDCBP,SHTN1
GO:0006931:substrate-dependent cell migration, cell attachment to substrate	2	EPB41L5,TNFRSF12A
GO:0006933:negative regulation of cell adhesion involved in substrate-bound cell migration	4	ATP5F1B,ITGB1BP1,PTPRC,SNAI2
GO:0006935:chemotaxis	121	ACKR2,ACKR3,ACKR4,AMOT,ANOS1,C3AR1,C5,C5AR1,C5AR2,CCL1,CCL11,CCL13,CCL15,CCL16,CCL17,CCL18,CCL2,CCL20,CCL22,CCL23,CCL24,CCL25,CCL26,CCL27,CCL28,CCL3,CCL5,CCL7,CCL8,CCN1,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL2,CMKLR1,CMTM1,CMTM2,CMTM3,CMTM5,CMTM7,CMTM8,CREB3,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL14,CXCL16,CXCL2,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYSLTR1,DEFA1,DEFB1,DEFB103A,DEFB109B,DEFB130A,DEFB130B,DEFB4A,DOCK2,ECSCR,ENPP2,FER,FES,FGF2,FOSL1,FPR1,FPR2,FPR3,HRAS,HRG,L1CAM,LECT2,LGALS9,LTB4R2,MACO1,MAP2K1,MAPK1,MAPK14,MOSPD2,NCKAP1L,OR1D2,PIK3C2G,PIK3CB,PLA2G6,PLAU,PLAUR,PLD1,PLGRKT,PLP2,PROK2,PTAFR,PTGDR2,RALA,RALBP1,RARRES2,RIPOR2,RNASE2,S1PR1,SERPIND1,SPN,TYMP,XCR1,ZNF580
GO:0006936:muscle contraction	105	ACTA1,ACTA2,ACTG2,ANKRD2,ASPH,CACNA1H,CACNA1S,CALD1,CALM1,CAV3,CERT1,CHRNB1,CHRND,CHRNE,CHRNG,CKMT2,CLCN1,CRYAB,DES,DYSF,EMD,FXYD1,GALR2,GAMT,GJC1,GLRA1,GNAO1,HCN4,HRC,HSBP1,ITGA1,ITGB5,KCNIP2,KCNJ12,LMOD1,LMOD2,LMOD3,LTB4R,MYH1,MYH11,MYH13,MYH2,MYH4,MYH6,MYH7,MYH8,MYL1,MYL10,MYL12A,MYL12B,MYL5,MYL6,MYL6B,MYL7,MYL9,MYLK,MYLPF,MYOF,MYOM1,MYOM2,MYOM3,MYOT,NDUFS6,NOS1,OXTR,P2RX6,PABPN1,PXN,RYR1,SCN4A,SCN7A,SGCA,SLC6A8,SLC8A1,SLMAP,SNTA1,SNTB1,SORBS1,SORBS3,SSPN,TACR2,TAZ,TBX20,TLN1,TMOD1,TMOD2,TMOD3,TMOD4,TNNI1,TNNI2,TNNI3,TNNT1,TNNT2,TNNT3,TPM1,TPM2,TPM3,TPM4,TRDN,TRIM63,TRIM72,TTN,UTRN,UTS2,VCL
GO:0006937:regulation of muscle contraction	13	ANXA6,ATP1A2,HSPB6,KCNA1,MYL5,MYL9,PPP1R12B,SSTR2,TNNC1,TNNC2,TNNI2,TNNT2,TPM1
GO:0006939:smooth muscle contraction	17	ADRA1A,BDKRB2,CHRM3,CHRNB2,CHRNB4,EDNRA,FKBP1B,HTR7,MLN,MYH11,MYLK,NMUR1,PDE4D,ROCK1,ROCK2,SMTN,TPCN2
GO:0006940:regulation of smooth muscle contraction	12	ADRA2A,ATP1A2,CAV1,CHRM2,CHRNA3,CHRNB4,CNN1,DAPK3,KCNB2,NMUR2,PLCE1,TNNI3
GO:0006941:striated muscle contraction	17	ALDOA,ARG2,ARHGEF11,CASQ2,DTNA,KLHL41,LMOD3,MYH6,MYH7,MYLK2,MYOM1,MYOM2,MYOM3,NOS1,PGAM2,SMPX,TTN
GO:0006942:regulation of striated muscle contraction	8	ATP1A2,MYBPC3,MYBPH,MYL2,MYL3,SRI,TNNI1,TNNT3
GO:0006949:syncytium formation	4	ERCC1,ERVFRD-1,ERVH48-1,ERVW-1
GO:0006952:defense response	72	ACKR1,ACOD1,CAMLG,CD48,CD74,CD83,CD84,CEBPE,CLEC1A,CLEC1B,COLEC12,CRISP3,CSF3R,CST3,CX3CL1,CXCL12,CXCL9,CYBB,CYSLTR1,DUOX1,DUOX2,FCGR2B,FOXN1,GATA3,HLA-B,HP,HSF1,ICOSLG,IL17RB,IL31RA,IL32,INHBA,INHBB,IRGM,KCNN4,LILRA1,LILRA2,LILRA3,LILRB3,LILRB5,MALT1,MICU1,MPO,MST1R,MX1,MX2,NLRP3,NOD1,NOD2,NOX1,NOX3,NOX4,NOX5,OR2H2,P2RY11,PSG3,PTPRCAP,RNASE6,SOCS6,SP140,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,TAP1,TIAL1,TNIP1,TPSAB1,WAS
GO:0006953:acute-phase response	37	AHSG,APCS,APOL2,ASS1,CD163,CEBPB,CRP,EPO,F2,F8,FN1,HAMP,HFE,HP,IL22,IL6,IL6R,INS,ITIH4,LBP,MBL2,MRGPRX1,ORM1,ORM2,PLSCR1,REG3A,REG3G,SAA1,SAA2,SAA4,SERPINA1,SERPINA3,SERPINF2,SIGIRR,STAT3,TFR2,UGT1A1
GO:0006954:inflammatory response	384	ABCF1,ACER3,ACKR1,ACKR2,ACOD1,ADAM8,ADGRE2,ADGRE5,ADM,ADORA1,ADORA2A,ADORA3,AFAP1L2,AGER,AGTR1,AGTR2,AIF1,AIM2,AIMP1,AKT1,ALOX15,ANXA1,AOC3,AP3B1,APOL3,ATRN,AXL,AZU1,BCL6,BDKRB1,BDKRB2,BLNK,BMP2,BMP6,BMPR1B,C3,C3AR1,C4A,C4B,C5,C5AR1,C5AR2,CALCA,CAMK1D,CAMK4,CARD18,CASP4,CCL1,CCL11,CCL13,CCL14,CCL15,CCL15-CCL14,CCL16,CCL17,CCL18,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL24,CCL25,CCL26,CCL3,CCL3L1,CCL4,CCL4L1,CCL5,CCL7,CCL8,CCR1,CCR2,CCR3,CCR4,CCR5,CCR7,CCRL2,CD14,CD180,CD40,CD40LG,CD44,CD47,CD5L,CD96,CDO1,CEBPB,CELA1,CERS6,CHI3L1,CHST1,CHST2,CHST4,CHUK,CIITA,CLEC7A,CMKLR1,CNR2,CRH,CRHBP,CRP,CSF1,CSF1R,CSRP3,CX3CL1,CXCL1,CXCL10,CXCL11,CXCL13,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR2,CXCR3,CXCR4,CXCR6,CYBA,CYBB,CYP26B1,CYP4F11,DAB2IP,DHX9,DPEP1,ECM1,ELF3,EPHA2,F11R,F2R,F2RL1,FCGR2B,FFAR3,FFAR4,FOLR2,FOS,FPR1,FPR2,FPR3,FUT7,GAL,GBP5,GGT5,GPER1,GPR32,GPR32P1,GPR33,GPR68,GSDMD,H2BC1,HAVCR2,HCK,HDAC4,HDAC5,HDAC9,HK1,HMGB1,HNRNPA0,HRH1,HRH4,HSPG2,HYAL1,HYAL3,IFI16,IFNA2,IGFBP4,IKBKB,IKBKG,IL10RB,IL13,IL15,IL17A,IL17B,IL17C,IL17D,IL17F,IL17RE,IL18,IL18R1,IL18RAP,IL1A,IL1B,IL1F10,IL1R1,IL1RAP,IL1RL2,IL1RN,IL22,IL23A,IL23R,IL27,IL2RA,IL34,IL36A,IL36B,IL36G,IL36RN,IL37,IL5,IL6,IL9,IRAK2,IRGM,ITCH,ITGAL,ITGB2,ITGB6,KIT,KLRG1,KNG1,KRT16,LAT,LGALS9,LIAS,LIPA,LOXL3,LTB4R,LTB4R2,LXN,LY75,LY86,LY96,LYZ,MACIR,MAP2K3,MAPKAPK2,MEFV,MEP1B,MFHAS1,MGLL,MIF,MMP25,MS4A2,MSMP,MYD88,NAIP,NCR3,NDST1,NFAM1,NFATC3,NFATC4,NFE2L1,NFE2L2,NFKB1,NFKB2,NFKBID,NFKBIZ,NFRKB,NFX1,NLRC4,NLRP1,NLRP10,NLRP2,NLRP3,NLRP4,NLRP6,NLRP9,NMI,NOD1,NOS2,NOX1,NOX4,NR1H4,NRROS,ODAM,OLR1,ORM1,P2RX7,PARK7,PARP4,PF4,PF4V1,PIK3CD,PIK3CG,PJA2,PLA2G2D,PLA2G2E,PLA2G4B,PLA2G4C,PLAA,PLD3,PLD4,PLGRKT,PLP1,POLB,PPBP,PRDX5,PRKCQ,PRKCZ,PRKD1,PROK2,PSTPIP1,PTAFR,PTGDR,PTGER1,PTGER2,PTGER3,PTGER4,PTGFR,PTGIR,PTGS1,PTGS2,PTX3,PXK,PYCARD,PYDC2,PYDC5,RAC1,RARRES2,REL,RELA,RELB,RIPK2,RPS6KA4,RPS6KA5,S100A12,S100A8,S100A9,S1PR3,SCG2,SCN9A,SCUBE1,SCYL1,SCYL3,SDC1,SELE,SELP,SEMA7A,SERPINA3,SGMS1,SIGLEC1,SLC11A1,SMAD1,SMPDL3B,SPHK1,SPP1,STAB1,STARD7,STAT3,TAC1,TAC4,TACR1,TBK1,TBXA2R,TCIRG1,TGFB1,THBS1,THEMIS2,TICAM1,TICAM2,TIRAP,TLR1,TLR10,TLR2,TLR4,TLR5,TLR6,TLR9,TMIGD3,TNF,TNFAIP3,TNFAIP6,TNFRSF1A,TNFRSF1B,TNFRSF4,TNFSF4,TNIP1,TNIP2,TNIP3,TOLLIP,TPST1,TRIL,TSPAN2,TUSC2,UCN,VNN1,XCL1,XCL2,XCR1,ZC3H12A,ZNF580
GO:0006955:immune response	432	A0A0G2JRQ6,ACKR2,ACKR3,ACKR4,ADAMDEC1,ADGRE5,AIM2,AIRE,APLN,ATP6V0A2,AZGP1,BMP6,BMPR1A,C1QBP,C1QC,C1R,C3,C5AR1,C8A,C8B,CCL18,CCL19,CCL20,CCL21,CCL22,CCL23,CCL24,CCL25,CCL27,CCL28,CCL4,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL2,CD164,CD1A,CD1B,CD1C,CD1D,CD1E,CD274,CD4,CD7,CD79B,CD80,CD86,CD8A,CD8B,CD96,CEACAM8,CEBPB,CEBPG,CERT1,CFP,CHIT1,CHST4,CHUK,CIITA,CLNK,CMKLR1,CNIH1,CNR2,CR2,CRHR1,CRIP1,CSF2,CSF3,CST7,CTLA4,CTSC,CTSG,CTSK,CTSS,CTSW,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYP11B1,CYSLTR2,DEFA1,DEFB1,DEFB4A,DPP8,EDA,ENDOU,ENPP1,ENPP2,ETS1,EXOSC9,FAS,FCAR,FCGR1A,FCGR1B,FCGR2B,FCGR2C,FCGR3A,FCGR3B,FCGRT,FTH1,FYB1,GBP2,GBP6,GEM,GPR183,GPR65,GTPBP1,GZMA,H0Y858,HAMP,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB4,HLA-E,HLA-F,HLA-G,HLA-H,HRH2,ICOS,IFI44,IFI44L,IFI6,IFITM2,IFITM3,IGF1R,IGHA1,IGHA2,IGHD,IGHE,IGHV1-2,IGHV1-46,IGHV1-69,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-48,IGHV3-53,IGHV3-7,IGHV3-9,IGHV4-34,IGHV4-39,IGHV4-59,IGKC,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV1OR2-108,IGKV2-24,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-40,IGKV2D-24,IGKV2D-26,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV3OR2-268,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGLC1,IGLL1,IGLV1-36,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV10-54,IGLV11-55,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-33,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-16,IGLV3-19,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-27,IGLV3-32,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-39,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGSF6,IKBKE,IKBKG,IL10RB,IL12A,IL13,IL15,IL16,IL17A,IL17B,IL18R1,IL18RAP,IL19,IL1R1,IL1R2,IL1RAP,IL1RL1,IL1RN,IL2,IL21,IL27RA,IL2RA,IL2RG,IL3,IL32,IL36A,IL36B,IL37,IL4,IL4R,IL5,IL7R,IL9,IRAK1BP1,IRF8,ITGAD,JCHAIN,KAAG1,KIR2DL1,KIR2DL3,KIR2DS1,KIR2DS2,KIR2DS5,KIR3DL1,KIR3DS1,LAT,LAX1,LCP2,LIF,LILRB2,LOC102723996,LST1,LTB,LTB4R,LTBR,LY75,MADCAM1,MAP3K14,MAP4K2,MARCHF1,MARCHF8,MBP,MICA,MICB,MR1,MS4A2,MYLPF,NCR3,NECTIN1,NFIL3,NOTCH1,NRROS,OPRD1,OPRK1,OSM,PDCD1LG2,PF4,PF4V1,PKHD1L1,PNP,PPBP,PRELID1,PRG4,PRKRA,PTAFR,PTGDR2,PTGER4,PXDN,RAET1E,RAET1G,RAET1L,RAG1,RFX1,RGS1,S1PR4,SAMHD1,SCAP,SECTM1,SEMA3C,SEMA4D,SEMA7A,SERPINB9,SLPI,SMAD3,SMAD6,SP2,SPN,TAPBP,TCF12,TCF7,TENM1,TGFBR3,THBS1,TLR1,TLR10,TLR2,TLR4,TLR6,TLR7,TLR8,TLR9,TMIGD2,TNFAIP1,TNFRSF14,TNFRSF4,TNFSF10,TNFSF11,TNFSF12,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF4,TNFSF8,TNFSF9,TRAV14DV4,TRAV18,TRAV19,TRAV2,TRAV27,TRAV29DV5,TRAV38-1,TRAV38-2DV8,TRAV40,TRAV8-4,TRAV9-1,TRAV9-2,TRBC1,TRBV12-3,TRBV7-9,TRDV1,TRDV2,TRDV3,TRGC2,TRGV3,TRIM22,ULBP1,ULBP2,ULBP3,VAV1,VPREB1,VPREB3,VTN,WAS,XBP1,XCR1,ZAP70
GO:0006956:complement activation	92	C1QA,C1QB,C1QC,C1R,C1S,C2,C3,C4A,C4B,C6,C7,C8A,C8B,CFB,CFD,CFH,CFHR1,CFP,CLU,COLEC10,COLEC11,FCN1,FCN2,FCN3,IGHG1,IGHG2,IGHG3,IGHG4,IGHV1-2,IGHV1-46,IGHV1-69,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-23,IGHV3-30,IGHV3-33,IGHV3-48,IGHV3-53,IGHV3-7,IGHV3-9,IGHV4-34,IGHV4-39,IGHV4-59,IGKC,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1D-12,IGKV1D-16,IGKV1D-33,IGKV1D-39,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2D-28,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3D-20,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV2-11,IGLV2-14,IGLV2-23,IGLV2-8,IGLV3-1,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-27,IGLV6-57,IGLV7-43,MASP1,MASP2,MBL2,RGCC
GO:0006957:complement activation, alternative pathway	13	C3,C5,C7,C8A,C8B,C8G,C9,CFB,CFD,CFH,CFHR5,CFP,VSIG4
GO:0006958:complement activation, classical pathway	161	A0A087WW49,A0A0J9YW62,A0A0J9YWU9,A0A0J9YY99,APCS,C1QA,C1QB,C1QBP,C1QC,C1R,C1RL,C1S,C2,C3,C4A,C4B,C4BPA,C4BPB,C5,C6,C7,C8A,C8B,C8G,C9,CD46,CD55,CFI,CLU,CR1,CR2,CRP,IGHA1,IGHA2,IGHD,IGHE,IGHG1,IGHG2,IGHG3,IGHG4,IGHM,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV1OR15-1,IGHV1OR15-9,IGHV1OR21-1,IGHV2-26,IGHV2-5,IGHV2-70,IGHV2-70D,IGHV2OR16-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-20,IGHV3-21,IGHV3-23,IGHV3-30,IGHV3-30-3,IGHV3-30-5,IGHV3-33,IGHV3-35,IGHV3-38,IGHV3-43,IGHV3-43D,IGHV3-48,IGHV3-49,IGHV3-53,IGHV3-64,IGHV3-64D,IGHV3-66,IGHV3-7,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-9,IGHV3OR15-7,IGHV3OR16-10,IGHV3OR16-12,IGHV3OR16-13,IGHV3OR16-8,IGHV3OR16-9,IGHV4-28,IGHV4-30-2,IGHV4-30-4,IGHV4-31,IGHV4-34,IGHV4-38-2,IGHV4-39,IGHV4-4,IGHV4-59,IGHV4-61,IGHV4OR15-8,IGHV5-10-1,IGHV5-51,IGHV6-1,IGHV7-4-1,IGHV7-81,IGKC,IGKV1-12,IGKV1-16,IGKV1-17,IGKV1-33,IGKV1-39,IGKV1-5,IGKV1D-12,IGKV1D-16,IGKV1D-33,IGKV1D-39,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2D-28,IGKV2D-30,IGKV2D-40,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3D-20,IGKV4-1,IGKV5-2,IGLC1,IGLC2,IGLC3,IGLC6,IGLC7,IGLL1,IGLL5,IGLV1-40,IGLV1-44,IGLV1-47,IGLV1-51,IGLV2-11,IGLV2-14,IGLV2-23,IGLV2-8,IGLV3-1,IGLV3-19,IGLV3-21,IGLV3-25,IGLV3-27,IGLV6-57,IGLV7-43,MASP2,MBL2,S4R3C0,SERPING1,SUSD4,TRBC1,TRBC2,TRDC
GO:0006959:humoral immune response	58	AIRE,ALOX5,BCL2,BLNK,BST1,CCL2,CCR2,CCR6,CD28,CD83,EBI3,FOXJ1,GATA3,GPI,GPR183,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNG,IFNK,IFNW1,IL6,IL7,JCHAIN,LTA,LTF,MEF2C,MNX1,MS4A1,NOTCH1,NOTCH2,PAX5,PDCD1,POU2AF1,POU2F2,PSMB10,RBPJ,SH2D1A,ST6GAL1,TFE3,TFEB,TNF,TNFRSF21,TRAF3IP2,TREM1,TREM2,YTHDF2
GO:0006968:cellular defense response	53	ADORA2A,ADORA2B,BCL10,BECN1,C5AR1,CCR2,CCR3,CCR5,CCR6,CCR9,CD300C,CD5L,CLEC5A,CX3CR1,CXCL9,CXCR2,DCDC2,FCMR,FOSL1,GNLY,HLA-G,IL1RL2,ITGB1,ITK,KIR2DL4,KIR2DS3,KIR3DL2,KLRC2,KLRC3,KLRG1,LBP,LGALS3BP,LILRB2,LSP1,LY96,MNDA,NCF1,NCF2,NCR1,NCR2,PNLIPRP2,PRF1,PTK2B,RAB23,RELA,SH2D1A,SPN,TCIRG1,TRAT1,TYROBP,UMOD,VEZF1,ZNF148
GO:0006970:response to osmotic stress	19	APOBEC1,AQP9,ATF2,EGFR,FMO1,KCNMA1,LRRC8A,MAP2K7,MAP7,MAPK13,MARVELD3,NFAT5,NOLC1,PLK3,PTK2B,SORD,TSC22D2,TSC22D3,TSC22D4
GO:0006971:hypotonic response	2	ITGA2,SLC12A5
GO:0006972:hyperosmotic response	9	AQP1,HNMT,ICOSLG,K7N7A8,PDPK1,PKN1,SLC12A2,SST,TLR3
GO:0006974:cellular response to DNA damage stimulus	245	A8MVJ9,AATF,ABL1,ACER2,AKT1,AKTIP,ALKBH7,ALKBH8,APBB1,APC,APLF,APTX,ARMT1,ASH2L,ATF2,ATM,ATMIN,ATR,BABAM2,BARD1,BATF,BAZ1B,BCCIP,BCL2,BCL3,BCL6,BLM,BOD1L1,BRAT1,BRCA1,BRD4,BRSK1,BTG2,C9orf116,CASP3,CASP9,CBL,CBX1,CBX3,CBX5,CCAR2,CCDC13,CCND1,CCNK,CDK3,CDKN1A,CDKN2AIP,CENPS,CGAS,CHCHD6,CHD1L,CHD2,CHEK1,CHEK2,CIB1,CTC1,CTLA4,CUL4A,CUL4B,DDB1,DDIT3,DDX11,DTL,DTX3L,DYRK2,EGLN3,ERCC8,ETAA1,FAAP20,FANCF,FANCG,FANCL,FBH1,FBXO31,FBXO45,FMN2,FMR1,FOXO1,FOXP1,GNL1,H2AX,HELB,HERC2,HIC1,HMCES,HPF1,HROB,HUS1,IKBKG,IMMP2L,INIP,INTS3,IRF3,IRF7,KIN,LYN,MACROD1,MACROD2,MAPK1,MAPK15,MAPKAPK2,MASTL,MCM10,MCM7,MCM8,MCM9,MCTS1,MEN1,METTL3,MICA,MMS19,MNDA,MORC2,MRE11,MRNIP,MYC,NABP1,NABP2,NCOA6,NEK4,NFATC2,NIPBL,NOP53,NPAS2,NUAK1,NUPR2,OARD1,OGG1,OTUB1,PAK1,PARG,PARP1,PARP4,PAXX,PCLAF,PHF1,PIDD1,PLK3,PMAIP1,POLB,POLE3,POLK,POLQ,PPP1R15A,PRKDC,PSEN1,PSME4,RAD1,RAD17,RAD18,RAD50,RAD51,RAD52,RAD9A,RBBP5,RBBP6,RBM24,RFWD3,RIF1,RNF168,RNF169,RNF8,RPA1,RPS3,SAMHD1,SETD7,SETX,SGK1,SHPRH,SIRT1,SIRT4,SIRT7,SLF1,SLF2,SLFN11,SMARCAL1,SMC5,SMC6,SPATA18,SPDYA,SPIDR,SPRTN,STK11,STXBP4,SUSD6,SUV39H1,TAF1,TAF9,TANK,TAOK1,TAOK2,TAOK3,TFDP3,TIGAR,TIMELESS,TLK1,TLK2,TOP2A,TOPBP1,TOPORS,TP53,TP53BP1,TP73,TRAF6,TRIP12,UBA1,UBA6,UBE2B,UBE2E2,UBE2T,UBQLN4,UBR5,USP10,USP16,USP28,USP47,VAV3,VCP,WAC,WDHD1,WDR4,WDR76,WRN,XIAP,XRCC3,XRCC5,YAP1,YY1,ZBTB1,ZBTB18,ZBTB3,ZBTB38,ZBTB4,ZBTB40,ZBTB42,ZBTB47,ZBTB5,ZBTB7A,ZC3H12A,ZDHHC16,ZMAT3,ZNF385A,ZNF652,ZNF771,ZRANB3
GO:0006975:DNA damage induced protein phosphorylation	8	ABL1,ATM,CHEK1,CHEK2,CRY1,MAP2K6,MAPK12,MAPK3
GO:0006977:DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	56	ARID3A,ATM,AURKA,BAX,BTG2,CARM1,CASP2,CCNB1,CDC25C,CDK1,CDK2,CDKN1A,CDKN1B,CHEK2,CNOT1,CNOT10,CNOT11,CNOT2,CNOT3,CNOT4,CNOT6,CNOT6L,CNOT7,CNOT8,CNOT9,CRADD,E2F1,E2F4,E2F7,E2F8,EP300,GADD45A,GML,GTSE1,MDM2,MDM4,MUC1,PCBP4,PCNA,PIDD1,PLAGL1,PLK2,PLK3,PML,PRMT1,RBL2,RGCC,RPL26,SFN,SOX4,TFDP1,TFDP2,TNKS1BP1,TP53,TRIAP1,ZNF385A
GO:0006978:DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	14	BRCA1,BRCA2,CDKN1A,CHEK2,FOXM1,HIPK2,ING4,KAT5,MUC1,RPS27L,RPS6KA6,SP100,TFAP4,TP53
GO:0006979:response to oxidative stress	103	ABCC2,ABL1,AKT1,ALAD,ALS2,ANGPTL7,APP,ATOX1,ATRN,C19orf12,CA3,CHRNA4,CYGB,DGKK,DHCR24,DUOX1,DUOX2,EPX,ERCC1,ERCC2,ERCC3,ERCC6,ERCC8,ETFDH,FGF8,GCLC,GCLM,GPX4,GPX6,GSS,HAO1,HMOX1,HMOX2,IDH1,IPCEF1,KRT1,LIAS,LPO,LRRK2,MBL2,MICB,MMP14,MPO,MSRA,MSRB2,MSRB3,MT-CO1,MT-ND3,MTF1,NAPRT,NCOA7,NDUFA12,NDUFA6,NDUFB4,NDUFS2,NDUFS8,NEIL1,NQO1,NUDT1,OGG1,OXR1,OXSR1,PAGE4,PDLIM1,PINK1,PNKP,PON2,PRDX1,PRDX2,PRDX3,PRDX4,PRDX5,PRDX6,PRKN,PRNP,PSEN1,PSIP1,PSMB5,PTGS1,PTGS2,PXDN,PXDNL,RBPMS,RGS14,RRM2B,SCARA3,SELENOK,SELENOP,SGK2,SIRT1,SLC23A2,SRXN1,STC2,STK25,TAT,TLDC2,TOR1A,TPO,TXN2,UCN,VNN1,WRN,XPA
GO:0006982:response to lipid hydroperoxide	2	APOA4,GPX3
GO:0006983:ER overload response	11	ATG10,CCDC47,DDIT3,EIF2AK3,GSK3B,HSPA5,PPP1R15B,SELENOS,TMCO1,TP53,WFS1
