Pathway	Gene_List
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	AKT1,AKT2,AKT3,CREBBP,EP300,FGF10,FOXA2,FOXA3,FOXO1,GCK,HES1,HNF1A,HNF1B,HNF4A,HNF4G,IAPP,INS,INSM1,KAT2A,KAT2B,MAFA,MAML1,MAML2,MAML3,MAMLD1,NEUROD1,NEUROG3,NKX2-2,NKX6-1,NOTCH1,NR5A2,ONECUT1,ONECUT3,PAX4,PAX6,PDX1,PKLR,PTF1A,RBPJ,RFX6,SLC2A2,SNW1
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	AATF,ABR,AKAP13,APH1A,APH1B,ARHGEF1,ARHGEF10,ARHGEF10L,ARHGEF11,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF17,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF26,ARHGEF3,ARHGEF33,ARHGEF35,ARHGEF37,ARHGEF38,ARHGEF39,ARHGEF4,ARHGEF40,ARHGEF5,ARHGEF6,ARHGEF7,ARHGEF9,BAD,BCL2L11,BEX3,CASP2,CASP3,ECT2,FGD1,FGD2,FGD3,FGD4,GNA13,ITGB3BP,ITSN1,KALRN,MAGED1,MAPK8,MCF2,MCF2L,NCSTN,NET1,NGEF,NGF,NGFR,OBSCN,PLEKHG2,PLEKHG5,PREX1,PSEN1,PSEN2,PSENEN,RAC1,RASGRF2,RPS27A,SOS1,SOS2,SQSTM1,TIAM1,TIAM2,TRAF6,TRIO,UBA52,UBB,UBC,VAV1,VAV2,VAV3,YWHAE
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	ABAT,ALDH5A1,APBA1,ARL6IP5,CASK,CHAT,CPLX1,DNAJC5,GAD1,GAD2,GLS,GLS2,HSPA8,LIN7A,LIN7B,LIN7C,MAOA,NAAA,PPFIA1,PPFIA2,PPFIA3,PPFIA4,RAB3A,RIMS1,SLC17A7,SLC18A2,SLC18A3,SLC1A1,SLC1A2,SLC1A3,SLC1A6,SLC1A7,SLC22A1,SLC22A2,SLC32A1,SLC38A2,SLC5A7,SLC6A1,SLC6A11,SLC6A12,SLC6A13,SNAP25,STX1A,STXBP1,SYN1,SYN2,SYN3,SYT1,TSPOAP1,UNC13B,VAMP2
REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	AATF,ABR,ADAM17,AKAP13,APH1A,APH1B,ARHGDIA,ARHGEF1,ARHGEF10,ARHGEF10L,ARHGEF11,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF17,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF26,ARHGEF3,ARHGEF33,ARHGEF35,ARHGEF37,ARHGEF38,ARHGEF39,ARHGEF4,ARHGEF40,ARHGEF5,ARHGEF6,ARHGEF7,ARHGEF9,BAD,BCL2L11,BEX3,CASP2,CASP3,ECT2,FGD1,FGD2,FGD3,FGD4,GNA13,HDAC1,HDAC2,HDAC3,IKBKB,IRAK1,ITGB3BP,ITSN1,KALRN,LINGO1,MAG,MAGED1,MAPK8,MCF2,MCF2L,MYD88,NCSTN,NET1,NFKB1,NFKBIA,NGEF,NGF,NGFR,OBSCN,OMG,PLEKHG2,PLEKHG5,PRDM4,PREX1,PRKCI,PSEN1,PSEN2,PSENEN,RAC1,RASGRF2,RELA,RHOA,RIPK2,RPS27A,RTN4,RTN4R,SMPD2,SOS1,SOS2,SQSTM1,TIAM1,TIAM2,TRAF6,TRIO,UBA52,UBB,UBC,VAV1,VAV2,VAV3,YWHAE
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	SLC16A10,SLC1A4,SLC1A5,SLC25A29,SLC36A1,SLC36A2,SLC36A4,SLC38A1,SLC38A2,SLC38A3,SLC38A4,SLC38A5,SLC3A1,SLC3A2,SLC43A1,SLC43A2,SLC6A12,SLC6A14,SLC6A15,SLC6A18,SLC6A19,SLC6A20,SLC6A6,SLC7A1,SLC7A10,SLC7A11,SLC7A2,SLC7A3,SLC7A5,SLC7A6,SLC7A7,SLC7A8,SLC7A9
REACTOME_ENDOGENOUS_STEROLS	AHR,AHRR,ARNT,ARNT2,CYP11A1,CYP11B1,CYP11B2,CYP19A1,CYP1B1,CYP21A2,CYP27A1,CYP39A1,CYP46A1,CYP4V2,CYP51A1,CYP7A1,CYP7B1,CYP8B1,FDX1,FDX2,FDXR,NCOA1,NCOA2,NR1H4,POMC,PTGIS,RXRA
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	AKT1,AKT2,AKT3,FOXA2,FOXA3,FOXO1,GCK,HNF1A,HNF4A,HNF4G,IAPP,INS,MAFA,NEUROD1,NKX2-2,NKX6-1,PAX6,PDX1,PKLR,RFX6,SLC2A2
REACTOME_GLYCOLYSIS	AAAS,ADPGK,ALDOA,ALDOB,ALDOC,BPGM,ENO1,ENO2,ENO3,GAPDH,GAPDHS,GCK,GCKR,GNPDA1,GNPDA2,GPI,HK1,HK2,HK3,NDC1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PGM2L1,PGP,PKLR,PKM,POM121,POM121C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PRKACA,PRKACB,PRKACG,RAE1,RANBP2,SEC13,SEH1L,TPI1,TPR
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	DNA2,FEN1,LIG1,PCNA,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,PRIM1,PRIM2,RPA1,RPA2,RPA3
REACTOME_MRNA_CAPPING	CCNH,CDK7,ERCC2,ERCC3,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2H5,MNAT1,NCBP1,NCBP2,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,RNGTT,RNMT,SUPT5H
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	ACAA2,ACAD10,ACAD11,ACADL,ACADM,ACADS,ACADVL,ACBD6,ACBD7,ACOT1,ACOT11,ACOT12,ACOT13,ACOT2,ACOT7,ACOT9,ACSF2,ACSM3,ACSM6,DBI,DECR1,ECHS1,ECI1,HADH,HADHA,HADHB,MCAT,MCEE,MECR,MMAA,MMUT,NDUFAB1,PCCA,PCCB,PCTP,THEM4,THEM5
REACTOME_SIGNALING_BY_GPCR	ABCA4,ABHD12,ABHD6,ABR,AC114267.1,ACKR1,ACKR2,ACKR3,ACKR4,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADCYAP1,ADCYAP1R1,ADGRE1,ADGRE2,ADGRE3,ADGRE5,ADM,ADM2,ADORA1,ADORA2A,ADORA2B,ADORA3,ADRA1A,ADRA1B,ADRA1D,ADRA2A,ADRA2B,ADRA2C,ADRB1,ADRB2,ADRB3,AGRN,AGT,AGTR1,AGTR2,AHCYL1,AKAP13,AKR1B10,AKR1C1,AKR1C3,AKR1C4,AKT1,AKT2,AKT3,AL512310.1,ANXA1,APLN,APLNR,APOA1,APOA2,APOA4,APOB,APOC2,APOC3,APOE,APOM,APP,ARHGEF1,ARHGEF10,ARHGEF10L,ARHGEF11,ARHGEF12,ARHGEF15,ARHGEF16,ARHGEF17,ARHGEF18,ARHGEF19,ARHGEF2,ARHGEF25,ARHGEF26,ARHGEF3,ARHGEF33,ARHGEF35,ARHGEF37,ARHGEF38,ARHGEF39,ARHGEF4,ARHGEF40,ARHGEF5,ARHGEF6,ARHGEF7,ARHGEF9,ARRB1,ARRB2,AVP,AVPR1A,AVPR1B,AVPR2,AWAT2,BCO1,BCO2,BDKRB1,BDKRB2,BRS3,BTK,C3,C3AR1,C5,C5AR1,C5AR2,CALCA,CALCB,CALCR,CALCRL,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CAMKMT,CASR,CCK,CCKAR,CCKBR,CCL1,CCL11,CCL13,CCL16,CCL17,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL25,CCL27,CCL28,CCL3,CCL3L1,CCL3L3,CCL4,CCL4L2,CCL5,CCL7,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL2,CD55,CDC42,CDK5,CGA,CHRM1,CHRM2,CHRM3,CHRM4,CHRM5,CLPS,CMKLR1,CNGA1,CNGB1,CNR1,CNR2,CORT,CREB1,CRH,CRHBP,CRHR1,CRHR2,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL16,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,CYP4V2,CYSLTR1,CYSLTR2,DAGLA,DAGLB,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ,DHH,DHRS3,DHRS9,DRD1,DRD2,DRD3,DRD4,DRD5,ECE1,ECE2,ECT2,EDN1,EDN2,EDN3,EDNRA,EDNRB,EGFR,F2,F2R,F2RL1,F2RL2,F2RL3,FFAR1,FFAR2,FFAR3,FFAR4,FGD1,FGD2,FGD3,FGD4,FNTA,FNTB,FPR1,FPR2,FPR3,FSHB,FSHR,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GABBR1,GABBR2,GAL,GALR1,GALR2,GALR3,GAST,GCG,GHRH,GHRHR,GHRL,GHSR,GIP,GIPR,GLP1R,GLP2R,GNA11,GNA12,GNA13,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAO1,GNAQ,GNAS,GNAT1,GNAT2,GNAT3,GNAZ,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,GNRH1,GNRH2,GNRHR,GPBAR1,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GPER1,GPHA2,GPHB5,GPIHBP1,GPR132,GPR143,GPR15,GPR150,GPR17,GPR176,GPR18,GPR183,GPR20,GPR25,GPR27,GPR31,GPR32,GPR35,GPR37,GPR37L1,GPR39,GPR4,GPR45,GPR55,GPR65,GPR68,GPR83,GPR84,GPRC6A,GPSM1,GPSM2,GPSM3,GRB2,GRK1,GRK2,GRK3,GRK4,GRK5,GRK6,GRK7,GRM1,GRM2,GRM3,GRM4,GRM5,GRM6,GRM7,GRM8,GRP,GRPR,GUCA1A,GUCA1B,GUCA1C,GUCY2D,GUCY2F,HBEGF,HCAR1,HCAR2,HCAR3,HCRT,HCRTR1,HCRTR2,HEBP1,HRAS,HRH1,HRH2,HRH3,HRH4,HSD17B1,HSD17B6,HSPG2,HTR1A,HTR1B,HTR1D,HTR1E,HTR1F,HTR2A,HTR2B,HTR2C,HTR4,HTR5A,HTR6,HTR7,IAPP,IHH,INSL3,INSL5,ITPR1,ITPR2,ITPR3,ITSN1,KALRN,KEL,KISS1,KISS1R,KNG1,KPNA2,KRAS,LDLR,LHB,LHCGR,LPAR1,LPAR2,LPAR3,LPAR4,LPAR5,LPAR6,LPL,LRAT,LRP1,LRP10,LRP12,LRP2,LRP8,LTB4R,LTB4R2,MAPK1,MAPK3,MAPK7,MC1R,MC2R,MC3R,MC4R,MC5R,MCF2,MCF2L,MCHR1,MCHR2,METAP1,METAP2,MGLL,MLN,MLNR,MMP3,MTNR1A,MTNR1B,MYO7A,NAPEPLD,NBEA,NET1,NGEF,NLN,NMB,NMBR,NMS,NMT1,NMT2,NMU,NMUR1,NMUR2,NPB,NPBWR1,NPBWR2,NPFF,NPFFR1,NPFFR2,NPS,NPSR1,NPW,NPY,NPY1R,NPY2R,NPY4R,NPY5R,NRAS,NTS,NTSR1,NTSR2,OBSCN,OPN1LW,OPN1MW,OPN1SW,OPN3,OPN4,OPN5,OPRD1,OPRK1,OPRL1,OPRM1,OR10A2,OR10A3,OR10A4,OR10A5,OR10A6,OR10A7,OR10AD1,OR10AG1,OR10C1,OR10D3,OR10G2,OR10G3,OR10G4,OR10G6,OR10G7,OR10G8,OR10G9,OR10H2,OR10H3,OR10H4,OR10H5,OR10J1,OR10J3,OR10J5,OR10K1,OR10K2,OR10P1,OR10Q1,OR10R2,OR10S1,OR10T2,OR10V1,OR10W1,OR10X1,OR10Z1,OR11A1,OR11G2,OR11H1,OR11H2,OR11H4,OR11H6,OR11L1,OR12D2,OR12D3,OR13A1,OR13C2,OR13C3,OR13C4,OR13C5,OR13C8,OR13C9,OR13D1,OR13F1,OR13G1,OR13H1,OR13J1,OR14A16,OR14A2,OR14C36,OR14I1,OR14J1,OR14K1,OR1A1,OR1A2,OR1B1,OR1C1,OR1D2,OR1D5,OR1E1,OR1E2,OR1F1,OR1G1,OR1I1,OR1J1,OR1J2,OR1J4,OR1K1,OR1L1,OR1L3,OR1L4,OR1L6,OR1L8,OR1M1,OR1N1,OR1N2,OR1Q1,OR1S1,OR1S2,OR2A1,OR2A12,OR2A14,OR2A2,OR2A25,OR2A4,OR2A42,OR2A5,OR2A7,OR2AE1,OR2AG1,OR2AG2,OR2AJ1,OR2AK2,OR2AP1,OR2AT4,OR2B11,OR2B2,OR2B3,OR2B6,OR2C1,OR2C3,OR2D2,OR2D3,OR2F1,OR2F2,OR2G2,OR2G3,OR2G6,OR2H1,OR2H2,OR2J1,OR2J2,OR2J3,OR2K2,OR2L13,OR2L2,OR2L3,OR2L5,OR2L8,OR2M2,OR2M3,OR2M4,OR2M5,OR2M7,OR2S2,OR2T1,OR2T10,OR2T11,OR2T12,OR2T2,OR2T27,OR2T29,OR2T3,OR2T33,OR2T34,OR2T35,OR2T4,OR2T5,OR2T6,OR2T7,OR2T8,OR2V1,OR2V2,OR2W1,OR2W3,OR2Y1,OR2Z1,OR3A1,OR3A2,OR3A3,OR4A15,OR4A16,OR4A47,OR4A5,OR4B1,OR4C11,OR4C12,OR4C13,OR4C15,OR4C16,OR4C3,OR4C46,OR4C5,OR4C6,OR4D1,OR4D10,OR4D11,OR4D2,OR4D5,OR4D6,OR4D9,OR4E1,OR4E2,OR4F15,OR4F16,OR4F17,OR4F21,OR4F29,OR4F3,OR4F4,OR4F5,OR4F6,OR4K1,OR4K13,OR4K14,OR4K15,OR4K17,OR4K2,OR4K5,OR4L1,OR4M1,OR4M2,OR4N2,OR4N4,OR4N5,OR4P4,OR4Q2,OR4S1,OR4S2,OR4X1,OR4X2,OR51A2,OR51A4,OR51A7,OR51B2,OR51B4,OR51B5,OR51B6,OR51D1,OR51E1,OR51E2,OR51F1,OR51F2,OR51G1,OR51G2,OR51H1,OR51I1,OR51I2,OR51J1,OR51L1,OR51M1,OR51Q1,OR51S1,OR51T1,OR51V1,OR52A1,OR52A5,OR52B2,OR52B6,OR52D1,OR52E2,OR52E4,OR52E5,OR52E6,OR52E8,OR52H1,OR52I1,OR52I2,OR52J3,OR52K1,OR52K2,OR52L1,OR52M1,OR52N1,OR52N2,OR52N4,OR52N5,OR52R1,OR52W1,OR52Z1,OR56A1,OR56A3,OR56A4,OR56A5,OR56B1,OR56B4,OR5A1,OR5A2,OR5AC2,OR5AK2,OR5AN1,OR5AP2,OR5AR1,OR5AS1,OR5AU1,OR5B12,OR5B17,OR5B2,OR5B21,OR5B3,OR5C1,OR5D13,OR5D14,OR5D16,OR5D18,OR5F1,OR5H1,OR5H14,OR5H15,OR5H2,OR5H6,OR5I1,OR5J2,OR5K1,OR5K2,OR5K3,OR5K4,OR5L1,OR5L2,OR5M1,OR5M10,OR5M11,OR5M3,OR5M8,OR5M9,OR5P2,OR5P3,OR5R1,OR5T1,OR5T2,OR5T3,OR5V1,OR5W2,OR6A2,OR6B1,OR6B2,OR6B3,OR6C1,OR6C2,OR6C3,OR6C4,OR6C6,OR6C65,OR6C68,OR6C70,OR6C74,OR6C75,OR6C76,OR6F1,OR6J1,OR6K2,OR6K3,OR6K6,OR6M1,OR6N1,OR6N2,OR6P1,OR6Q1,OR6S1,OR6T1,OR6V1,OR6X1,OR6Y1,OR7A10,OR7A17,OR7A5,OR7C1,OR7C2,OR7D2,OR7D4,OR7E24,OR7G1,OR7G2,OR7G3,OR8A1,OR8B12,OR8B2,OR8B3,OR8B4,OR8B8,OR8D1,OR8D2,OR8D4,OR8G1,OR8G5,OR8H1,OR8H2,OR8H3,OR8I2,OR8J1,OR8J3,OR8K1,OR8K3,OR8K5,OR8S1,OR8U1,OR8U9,OR9A2,OR9A4,OR9G1,OR9G4,OR9I1,OR9K2,OR9Q1,OR9Q2,OXER1,OXGR1,OXT,OXTR,P2RY1,P2RY10,P2RY11,P2RY12,P2RY13,P2RY14,P2RY2,P2RY4,P2RY6,PAK1,PCP2,PDE10A,PDE11A,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE4C,PDE4D,PDE6A,PDE6B,PDE6G,PDE7A,PDE7B,PDE8A,PDE8B,PDPK1,PDYN,PENK,PF4,PIK3CA,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PLA2G4A,PLB1,PLCB1,PLCB2,PLCB3,PLCB4,PLEKHG2,PLEKHG5,PLPPR1,PLPPR2,PLPPR3,PLPPR4,PLPPR5,PLXNB1,PMCH,PNLIP,PNOC,POMC,PPBP,PPEF1,PPP1CA,PPP1R1B,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPY,PREX1,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCB,PRKCD,PRKCE,PRKCG,PRKCH,PRKCQ,PRKX,PRLH,PRLHR,PROK1,PROK2,PROKR1,PROKR2,PSAP,PTAFR,PTCH1,PTCH2,PTGDR,PTGDR2,PTGER1,PTGER2,PTGER3,PTGER4,PTGFR,PTGIR,PTH,PTH1R,PTH2,PTH2R,PTHLH,PYY,QRFP,QRFPR,RAMP1,RAMP2,RAMP3,RASGRF2,RASGRP1,RASGRP2,RBP1,RBP2,RBP3,RBP4,RCVRN,RDH10,RDH11,RDH12,RDH16,RDH5,RDH8,REEP1,REEP2,REEP3,REEP4,REEP5,REEP6,RETSAT,RGR,RGS1,RGS10,RGS11,RGS12,RGS13,RGS14,RGS16,RGS17,RGS18,RGS19,RGS2,RGS20,RGS21,RGS22,RGS3,RGS4,RGS5,RGS6,RGS7,RGS8,RGS9,RGS9BP,RGSL1,RHO,RHOA,RHOB,RHOC,RLBP1,RLN2,RLN3,ROCK1,ROCK2,RPE65,RPS6KA1,RPS6KA2,RPS6KA3,RRH,RTP1,RTP2,RTP3,RTP4,RTP5,RXFP1,RXFP2,RXFP3,RXFP4,S1PR1,S1PR2,S1PR3,S1PR4,S1PR5,SAA1,SAG,SCT,SCTR,SDC1,SDC2,SDC3,SDC4,SDR9C7,SHH,SLC24A1,SMO,SOS1,SOS2,SRC,SST,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,STRA6,SUCNR1,TAAR1,TAAR2,TAAR5,TAAR6,TAAR8,TAAR9,TAC1,TAC3,TACR1,TACR2,TACR3,TAS1R1,TAS1R2,TAS1R3,TAS2R1,TAS2R10,TAS2R13,TAS2R14,TAS2R16,TAS2R19,TAS2R20,TAS2R3,TAS2R30,TAS2R31,TAS2R38,TAS2R39,TAS2R4,TAS2R40,TAS2R41,TAS2R42,TAS2R43,TAS2R46,TAS2R5,TAS2R50,TAS2R60,TAS2R7,TAS2R8,TAS2R9,TBXA2R,TIAM1,TIAM2,TRH,TRHR,TRIO,TRPC3,TRPC6,TRPC7,TSHB,TSHR,TTR,UCN,UCN2,UCN3,UTS2,UTS2B,UTS2R,VAV1,VAV2,VAV3,VIP,VIPR1,VIPR2,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,XCL1,XCL2,XCR1,XK
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	ACKR1,ACKR2,ACKR3,ACKR4,AGT,AGTR1,AGTR2,ANXA1,APLN,APLNR,APP,AVP,AVPR1A,AVPR1B,AVPR2,BDKRB1,BDKRB2,BRS3,C3,C3AR1,C5,C5AR1,C5AR2,CCK,CCKAR,CCKBR,CCL1,CCL11,CCL13,CCL16,CCL17,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL25,CCL27,CCL28,CCL3,CCL3L1,CCL3L3,CCL4,CCL5,CCL7,CCR1,CCR10,CCR2,CCR3,CCR4,CCR5,CCR6,CCR7,CCR8,CCR9,CCRL2,CORT,CX3CL1,CX3CR1,CXCL1,CXCL10,CXCL11,CXCL12,CXCL13,CXCL16,CXCL2,CXCL3,CXCL5,CXCL6,CXCL8,CXCL9,CXCR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6,ECE1,ECE2,EDN1,EDN2,EDN3,EDNRA,EDNRB,F2,F2R,F2RL1,F2RL2,F2RL3,FPR1,FPR2,FPR3,GAL,GALR1,GALR2,GALR3,GHRL,GHSR,GPER1,GPR37,GPR37L1,GRP,GRPR,HCRT,HCRTR1,HCRTR2,HEBP1,INSL3,INSL5,KEL,KISS1,KISS1R,KNG1,MC1R,MC2R,MC3R,MC4R,MC5R,MCHR1,MCHR2,MLN,MLNR,NLN,NMB,NMBR,NMS,NMU,NMUR1,NMUR2,NPB,NPBWR1,NPBWR2,NPFF,NPFFR1,NPFFR2,NPS,NPSR1,NPW,NPY,NPY1R,NPY2R,NPY4R,NPY5R,NTS,NTSR1,NTSR2,OPRD1,OPRK1,OPRL1,OPRM1,OXT,OXTR,PDYN,PENK,PF4,PMCH,PNOC,POMC,PPBP,PPY,PRLH,PRLHR,PROK1,PROK2,PROKR1,PROKR2,PSAP,PYY,QRFP,QRFPR,RLN2,RLN3,RXFP1,RXFP2,RXFP3,RXFP4,SAA1,SST,SSTR1,SSTR2,SSTR3,SSTR4,SSTR5,TAC1,TAC3,TACR1,TACR2,TACR3,TRH,TRHR,UTS2,UTS2B,UTS2R,XCL1,XCL2,XCR1,XK
REACTOME_METABOLISM_OF_POLYAMINES	AGMAT,AMD1,AZIN1,AZIN2,NQO1,OAZ1,OAZ2,OAZ3,ODC1,PAOX,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,SAT1,SEM1,SMOX,SMS,SRM
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	CREBBP,HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,KAT2A,KAT2B,MAML1,MAML2,MAML3,MAMLD1,NCOR1,NCOR2,NOTCH1,NOTCH2,NOTCH3,NOTCH4,RBPJ,SNW1,TBL1X,TBL1XR1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	ABCC8,ACACA,ACACB,ACLY,ACSL3,ACSL4,ADCY1,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADIPOQ,ADIPOR1,ADIPOR2,ADRA2A,ADRA2C,AGPAT1,AHCYL1,AKAP5,CACNA1A,CACNA1C,CACNA1D,CACNA1E,CACNA2D2,CACNB2,CACNB3,CD36,CHRM3,CYSLTR2,FASN,FFAR1,GCG,GLP1R,GNA11,GNA14,GNA15,GNAI1,GNAI2,GNAQ,GNAS,GNB1,GNB2,GNB3,GNB4,GNB5,GNG10,GNG11,GNG12,GNG13,GNG2,GNG3,GNG4,GNG5,GNG7,GNG8,GNGT1,GNGT2,INS,IQGAP1,ITPR1,ITPR2,ITPR3,KCNB1,KCNC2,KCNG2,KCNJ11,KCNS3,MARCKS,MLX,MLXIPL,PFKFB1,PKLR,PLCB1,PLCB2,PLCB3,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5D,PRKAA2,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG2,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,RAP1A,RAPGEF3,RAPGEF4,SLC2A1,SLC2A2,SNAP25,STK11,STX1A,STXBP1,SYT5,TALDO1,TKT,VAMP2
