GO_MF	Gene_Size	Gene_List
GO:0005102:signaling receptor binding	351	A2M,ABCA1,ABCA12,ADAM10,ADCYAP1,ADIPOQ,ADM,AGRP,AKAP9,ALCAM,AMH,AMN,ANG,ANGPT1,ANGPT2,ANGPT4,ANGPTL1,ANGPTL2,ANGPTL3,ANGPTL4,ANGPTL6,ANKRD13C,ANO1,ANXA1,APLN,APOA1,APOA2,APOE,APOF,APOL2,APP,AR,ARPP19,ARRB2,ARTN,ASIP,AVP,BAG6,BANK1,BEX1,BEX2,BEX3,BEX5,BLK,BMP2,BMP3,BOK,BTN1A1,BTN2A1,BTN2A2,BTN2A3P,BTN3A1,BTN3A2,BTN3A3,BTNL10,BTNL2,BTNL3,BTNL8,BTNL9,C1QL1,C3,C5,CADM1,CAPRIN2,CAV1,CCL13,CCL15,CCL17,CCL2,CD160,CD2,CD22,CD276,CD58,CD70,CD72,CDH5,CFC1,CFC1B,CFL1,CHRNA10,CLCF1,CLU,CNPY3,CNPY4,CNTFR,CRH,CRTAM,CSNK2B,CTNND1,CX3CL1,CXCL1,CXCL10,CXCL12,CYTL1,DDX54,DIAPH1,DIAPH2,DMTN,DPP4,DVL3,EDA,EDN3,EFNA1,EGFL7,EGFL8,EML2,ENSA,EPHB2,ERBIN,ERMAP,F2,F2R,F2RL1,F7,FASLG,FCN1,FCN2,FCN3,FER,FES,FGA,FGB,FGF20,FGG,FGL1,FGL2,FGR,FKBP1B,FLT3LG,FN1,FRK,FYB1,FYN,FZD1,FZD8,GAS6,GBA,GCG,GDNF,GFRA1,GFRA3,GIPC1,GLA,GLG1,GLMN,GRIN1,GRP,GSK3A,GSTM2,GUSB,GUSBP11,HAP1,HCK,HCST,HFE,HHLA2,HILPDA,HJV,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HLA-H,HNF4A,HRG,HSPA1A,HSPA1B,IAPP,ICAM3,ICOSLG,IDUA,IFNL1,IFNL2,IFNL3,IFNL4,IGFBP1,IGFBP2,IGFBP4,IGFBP6,IGFL1,IGFL2,IGFL3,IGFL4,IL17RA,IL17RC,IL1RAPL1,IL27,INHA,INSL3,INSL4,ITGA1,ITPRID1,ITPRID2,IZUMO1,IZUMO1R,JAK2,KCNA5,KNG1,LAMA1,LAMA2,LAMA4,LBP,LCK,LCN1,LEPROT,LGI1,LHB,LIF,LILRA4,LPL,LRIG2,LRP6,LRPAP1,LRRC4B,LTA,LTB,LYN,MAG,MAP7,MBL2,MCHR1,MOG,MSN,MSTN,MT-RNR2,MTSS1,MYO1C,NCK1,NMU,NPFF,NPPA,NPPB,NPPC,NPVF,NPY,NRG1,NRG2,NRG3,NRG4,NRTN,NSG1,NTF3,NTN3,NXPH1,NXPH2,NXPH3,NXPH4,P2RX4,P2RX7,PANX1,PARK7,PCSK1N,PDGFRB,PDPN,PECR,PEX14,PICK1,PIK3AP1,PKD2,PLA2G1B,PLAT,PLAUR,PLG,PLXNC1,POMC,PRTN3,PSPN,PTK6,PTPA,PTPRC,PTPRD,RAB8B,RACK1,RARA,RARRES2,RASA1,REN,RIPK2,RND1,RSPO1,RSPO2,RSPO3,SCP2,SCT,SCYL2,SELPLG,SEMA3G,SEMA4D,SERPINE1,SERPINE2,SIX3,SLA,SLC39A1,SLC6A3,SLC9A3R1,SLC9A3R2,SMARCD1,SMARCD3,SNX17,SRC,SRI,SRMS,SRPX2,SSTR3,STOML2,STRAP,STX1B,TAC3,TDGF1,TDGF1P3,TESPA1,TGFB2,THPO,TIGIT,TLR4,TLR6,TMED1,TNFSF10,TNFSF12,TNFSF12-TNFSF13,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF4,TNFSF8,TNFSF9,TNK1,TNK2,TNR,TRAF3IP2,TRAK1,TRAK2,TRDN,TRIM24,TRPC1,TYROBP,UFD1,UTS2,VTCN1,VWDE,WIF1,WIPI1,WNT3A,WNT5B,WNT7A,YES1
GO:0005104:fibroblast growth factor receptor binding	21	FGF1,FGF10,FGF16,FGF19,FGF2,FGF20,FGF21,FGF22,FGF3,FGF4,FGF5,FGF7,FGF8,FGF9,FLRT1,FLRT2,FLRT3,FRS2,FRS3,KL,KLB
GO:0005105:type 1 fibroblast growth factor receptor binding	4	FGF17,FGF18,FGF23,NPTN
GO:0005109:frizzled binding	39	BAMBI,CCDC88C,CTHRC1,DVL1,DVL1P1,DVL2,DVL3,FZD1,FZD7,GOPC,LRP6,MYOC,NDP,RNF43,ROR2,RSPO3,RYK,SDCBP,SFRP1,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B,ZNRF3
GO:0005111:type 2 fibroblast growth factor receptor binding	3	FGF10,FGF17,FGF18
GO:0005112:Notch binding	27	A0A087X002,AAK1,ADAM17,CCN3,CHAC1,CNTN6,CUL3,DLK2,DLL1,DLL3,DLL4,DNER,DTX1,GALNT11,HIF1AN,JAG1,JAG2,KCTD10,MEGF10,NCOR2,NOTCH1,NOTCH2NLA,NOTCH2NLB,NOTCH4,SNED1,SNW1,TCIM
GO:0005113:patched binding	8	BBS1,CAV1,CCNB1,DHH,IHH,PTCH1,SHH,SMO
GO:0005114:type II transforming growth factor beta receptor binding	8	BAMBI,ENG,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR3,TGFBR3L
GO:0005119:smoothened binding	3	BBS1,PTCH1,PTCH2
GO:0005123:death receptor binding	15	BID,CASP3,CASP8,CASP8AP2,CFLAR,DAB2IP,EDA,FADD,FASLG,FEM1B,MADD,MYD88,PIDD1,RIPK1,TMBIM1
GO:0005124:scavenger receptor binding	4	FPR1,FPR2,GBA,PDZK1
GO:0005125:cytokine activity	187	ADIPOQ,AIMP1,AREG,BMP1,BMP10,BMP15,BMP2,BMP3,BMP4,BMP5,BMP6,BMP7,BMP8A,BMP8B,C17orf99,C1QTNF4,CCL4,CD40LG,CD70,CER1,CLCF1,CMTM1,CMTM2,CMTM3,CMTM5,CMTM7,CMTM8,CNTF,CRLF1,CSF1,CSF2,CSF3,CTF1,CXCL9,EBI3,EDN1,EPO,FAM3B,FAM3C,FAM3D,FASLG,FGF2,FLT3LG,GDF1,GDF10,GDF11,GDF15,GDF2,GDF3,GDF5,GDF6,GDF7,GDF9,GPI,GREM1,GREM2,GRN,HMGB1,IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNG,IFNK,IFNL1,IFNL2,IFNL3,IFNL4,IFNW1,IL10,IL11,IL12A,IL12B,IL13,IL15,IL16,IL17A,IL17B,IL17C,IL17D,IL17F,IL18,IL19,IL1A,IL1B,IL1F10,IL1RN,IL2,IL20,IL21,IL22,IL23A,IL24,IL25,IL26,IL27,IL3,IL31,IL32,IL33,IL34,IL36A,IL36B,IL36G,IL36RN,IL37,IL4,IL5,IL6,IL7,IL9,INHA,INHBA,INHBB,INHBC,INHBE,KITLG,LEFTY1,LEFTY2,LIF,LTA,LTB,MIF,MSMP,MSTN,NAMPT,NDP,NODAL,NRG1,OSM,SCG2,SCGB3A1,SECTM1,SLURP1,SPP1,TAFA5,TGFB1,TGFB2,TGFB3,THNSL2,THPO,TIMP1,TNF,TNFRSF11B,TNFSF10,TNFSF11,TNFSF12,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF4,TNFSF8,TNFSF9,TSLP,VEGFA,VSTM1,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B
GO:0005126:cytokine receptor binding	11	DDT,IFNA14,IFNA21,IFNA5,IFNA8,IFNW1,IL15,IL17F,IL21,IL31,MIF
GO:0005127:ciliary neurotrophic factor receptor binding	5	CLCF1,CNTF,CRLF1,IL6ST,LIFR
GO:0005128:erythropoietin receptor binding	3	EPO,RHEX,RNF41
GO:0005131:growth hormone receptor binding	9	CSH1,CSH2,CSHL1,GH1,GH2,JAK1,JAK2,SOCS2,TYK2
GO:0005132:type I interferon receptor binding	16	IFNA1,IFNA10,IFNA14,IFNA16,IFNA17,IFNA2,IFNA21,IFNA4,IFNA5,IFNA6,IFNA7,IFNA8,IFNB1,IFNE,IFNK,IFNW1
GO:0005134:interleukin-2 receptor binding	5	ECM1,GATA3,IL2,IL21,TIMM50
GO:0005135:interleukin-3 receptor binding	2	IL3,RNF41
GO:0005136:interleukin-4 receptor binding	3	CD300LF,IL4,PIBF1
GO:0005137:interleukin-5 receptor binding	2	IL5,SDCBP
GO:0005138:interleukin-6 receptor binding	7	ADAM17,CNTF,ERAP1,IL6,IL6R,IL6ST,PYCARD
GO:0005139:interleukin-7 receptor binding	2	IL7,TSLP
GO:0005143:interleukin-12 receptor binding	5	IL12A,IL12B,IL12RB1,IL23R,JAK2
GO:0005146:leukemia inhibitory factor receptor binding	2	CTF1,LIF
GO:0005148:prolactin receptor binding	2	GH1,PRL
GO:0005149:interleukin-1 receptor binding	13	IL1A,IL1B,IL1F10,IL1RAP,IL36A,IL36B,IL36G,IL36RN,IL37,IRAK4,TLR5,TLR9,TRIP6
GO:0005150:interleukin-1, type I receptor binding	2	IL1RN,TOLLIP
GO:0005151:interleukin-1, type II receptor binding	2	ERAP1,IL1RN
GO:0005152:interleukin-1 receptor antagonist activity	3	IL1RN,IL36RN,PXDN
GO:0005153:interleukin-8 receptor binding	2	CXCL8,YARS1
GO:0005154:epidermal growth factor receptor binding	34	AGR2,AREG,ARF4,ATXN2,BTC,CBL,CBLC,CCDC88A,CNOT9,EFEMP1,EGF,EPGN,ERBB4,EREG,FAM83B,FER,GRB2,HBEGF,HIP1,ITGA5,LINGO1,MS4A1,PLSCR1,RNF126,SHC1,SNX1,SNX2,SNX4,SOCS5,TGFA,TNK2,VAV2,VAV3,YES1
GO:0005157:macrophage colony-stimulating factor receptor binding	3	CSF1,IL34,STAP1
GO:0005158:insulin receptor binding	23	CCDC88A,ENPP1,GRB10,IGF1,IGF1R,IGF2,INS,INSL3,IRS1,IRS2,IRS4,LMBRD1,PDPK1,PHIP,PIK3R1,PTPN1,PTPN11,SHC1,SNX1,SNX2,SNX4,SORBS1,SRC
GO:0005159:insulin-like growth factor receptor binding	16	ARRB1,CRK,GNAS,IGF1,IGF2,INS,INSL4,INSR,IRS1,PIK3R1,REN,SHC1,SOCS1,SOCS2,YWHAG,YWHAH
GO:0005160:transforming growth factor beta receptor binding	14	AMH,FKBP1A,INHBC,LEFTY1,LEFTY2,LRG1,RASL11B,SMAD2,SMAD3,SMURF2,TGFB2,TGFBR3,TGFBRAP1,USP15
GO:0005161:platelet-derived growth factor receptor binding	15	ERN1,IL1R1,ITGA5,ITGB3,LYN,PDGFA,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PTEN,PTPRJ,VEGFA,VEGFD
GO:0005163:nerve growth factor receptor binding	6	BDNF,BEX3,M0QZQ0,NGF,NTF3,NTF4
GO:0005164:tumor necrosis factor receptor binding	31	BABAM2,CASP8,CD40LG,CD70,EDA,FADD,FASLG,LTA,LTB,SIVA1,STAT1,TNF,TNFSF10,TNFSF11,TNFSF12,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF4,TNFSF8,TNFSF9,TRADD,TRAF1,TRAF2,TRAF3,TRAF4,TRAF5,TRAF6,TRAP1,TRIM37
GO:0005168:neurotrophin TRKA receptor binding	6	EFNA5,FRS2,GRB2,PIK3R1,PLCG1,SHC1
GO:0005171:hepatocyte growth factor receptor binding	2	ESM1,GLMN
GO:0005172:vascular endothelial growth factor receptor binding	6	CD2AP,PGF,VEGFA,VEGFB,VEGFC,VEGFD
GO:0005173:stem cell factor receptor binding	4	KITLG,SH2B3,SPRED1,SPRED2
GO:0005174:CD40 receptor binding	2	CD40LG,TRAF2
GO:0005176:ErbB-2 class receptor binding	4	CDK5,ERBIN,MUC4,NRG1
GO:0005178:integrin binding	143	ACTN1,ACTN2,ACTN3,ACTN4,ADAM10,ADAM11,ADAM15,ADAM17,ADAM2,ADAM22,ADAM23,ADAM9,ADAMTS13,ADAMTS5,ADAMTS8,ANGPTL3,ANXA7,CALR,CASR,CCN1,CCN2,CCN3,CCN4,CCN5,CCN6,CD151,CD177,CD226,CD40LG,CD81,CD9,CDH17,CDH26,CIB2,COL16A1,COL3A1,COL4A3,COL5A1,COMP,CX3CL1,CXADR,CXCL12,DMP1,DST,ECM2,EDIL3,EGFL6,EGFR,EMP2,ESM1,F11R,FAP,FBLN5,FBN1,FCER2,FERMT1,FERMT2,FERMT3,FGF1,FGF2,FN1,FRMD5,GPNMB,H3BM21,HMGB1,IBSP,ICAM1,ICAM2,ICAM3,ICAM4,ICAM5,IGF1,IGF2,IL1B,ILK,ISG15,ITGA2,ITGA3,ITGA4,ITGA5,ITGAM,ITGAV,ITGAX,ITGB1,ITGB1BP1,ITGB1BP2,ITGB2,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8,ITGBL1,JAM2,JAM3,JAML,KDR,LAMA3,LAMA5,LAMB1,LAMB2,LAMB3,LCP1,LGALS8,LTBP4,LYN,MFGE8,MMP14,MYH9,NISCH,NPNT,NRG1,P4HB,PLPP3,PRKCA,PTK2,PTN,PTPN2,PTPRZ1,PXN,S1PR2,S1PR3,SEMA7A,SFRP2,SPP1,SRC,SYK,TGFBI,THBS1,THBS4,THY1,TIMP2,TLN1,TLN2,TNN,TNXB,TSPAN4,TSPAN8,UTRN,VCAM1,VTN,VWF
GO:0005179:hormone activity	101	A0A2R8Y747,ADIPOQ,ADM,ADM2,AGT,AMH,ANGPTL8,APELA,APLN,BMP10,C1QTNF12,C1QTNF9,CALCA,CCK,CCL25,CGA,CGB1,CGB2,CGB3,CGB7,CHGB,COPA,CRH,CSH1,CSH2,CSHL1,EDN1,EDN2,EDN3,ENHO,EPO,ERFE,FBN1,FNDC5,FSHB,GALP,GAST,GCG,GH1,GH2,GIP,GNRH1,GNRH2,GPHA2,GPHB5,GUCA2A,HAMP,IAPP,IGF1,IGF2,INHA,INHBA,INHBB,INHBC,INHBE,INS,INS-IGF2,INSL3,INSL4,INSL5,INSL6,KL,LEP,LHB,METRN,METRNL,MLN,NMB,NPPA,NPPB,NPPC,NPY,OSTN,POMC,PPY,PRL,PRLH,PTH,PTHLH,PYY,PYY2,PYY3,RETN,RETNLB,RLN1,RLN2,RLN3,SCT,SST,STC1,STC2,TG,THPO,TSHB,TTR,UCN2,UCN3,UTS2,UTS2B,VGF,VIP
GO:0005183:gonadotropin hormone-releasing hormone activity	2	GNRH1,GNRH2
GO:0005184:neuropeptide hormone activity	29	ADCYAP1,AGRP,ASIP,AVP,CALCB,CARTPT,CCK,CORT,CRH,GAL,GHRH,GRP,HCRT,NPFF,NPPA,NPY,NTS,OXT,PENK,PNOC,PPY,PRLH,PYY,PYY3,QRFP,SPX,UCN,VGF,VIP
GO:0005185:neurohypophyseal hormone activity	2	AVP,OXT
GO:0005198:structural molecule activity	170	A0A140TA62,ADD1,ADD2,ADD3,ANK1,APOE,ASPH,BGLAP,BVES,CLDN1,CLDN10,CLDN11,CLDN14,CLDN15,CLDN16,CLDN17,CLDN18,CLDN19,CLDN2,CLDN20,CLDN22,CLDN23,CLDN24,CLDN25,CLDN3,CLDN34,CLDN4,CLDN5,CLDN6,CLDN7,CLDN8,CLDN9,CLTA,CLTB,CLTC,CLTCL1,COL4A3,COPA,COPB1,COPB2,COPE,COPG1,COPG2,CROCC,CRYAA,CRYAB,CRYBB2,CTNNA1,CYLC1,DCTN3,DSP,DST,EIF3A,EPB41L1,EPB41L2,EPPK1,ERVK-21,ERVK-24,ERVK-5,ERVK-7,ERVK-9,ERVK13-1,EVPL,EVPLL,FGA,FGB,FGG,FLG,FLG2,GNL1,HERVK_113,HMGCL,HMOX1,ISCA1,ISCA2,JAG1,JUP,KLHL3,KRT12,KRT13,KRT17,KRT18,KRT222,KRT23,KRT24,KRT25,KRT26,KRT27,KRT28,KRT32,KRT33A,KRT33B,KRT34,KRT35,KRT37,KRT38,KRT39,KRT40,KRT75,KRT85,KRTAP24-1,KRTAP3-1,KRTAP3-2,KRTAP3-3,LAD1,LAMA2,LAMA3,LAMB1,LAMB2,LAMB3,LAMC3,LLGL1,LMNB1,MACF1,MAP1A,MAP1B,MAP2,MAP4,MAP7,MAPK8IP2,MATR3,MPZ,MPZL1,NPHP1,NPHP4,NUMA1,ODF2,OLFM4,OTOG,PANX1,PANX2,PANX3,PGM5,PLEC,PLP1,PNN,PPL,PRPH,PSMD11,PSMD13,ROCK2,SEC13,SEC31A,SEC31B,SEH1L,SEPTIN4,SEPTIN5,SEPTIN7,SNTA1,SNTB1,SNTB2,SNTG1,SNTG2,SPAG4,SPRR1A,SPRR1B,SPRR2E,SPRR3,STX2,TGM3,TLN2,TUBA1A,TUBA1B,TUBA1C,TUBB,TUBG2,TUBGCP3,UPK1B,VCL,VPS25
GO:0005200:structural constituent of cytoskeleton	103	A0A0B4J269,ACTA1,ACTB,ACTG1,ACTL6B,ACTL7A,ACTL7B,ACTR2,ACTR3,ADD1,ADD2,ADD3,AGRN,ANK1,ANK2,ANK3,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BFSP1,BFSP2,BICD1,CCDC6,CD2AP,CROCC,CTNNA2,CYLC1,CYLC2,DES,DMD,DSP,EPB41,EPB41L3,EPB41L4B,EPB42,ERBIN,GFAP,HIP1,HLA-DRB1,INA,KRT14,KRT15,KRT16,KRT19,KRT2,KRT20,KRT31,KRT5,KRT6A,KRT6B,KRT84,KRT9,LORICRIN,MSN,NEFH,NEFL,NEFM,PLEC,PLS1,PPL,SORBS2,SORBS3,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SYNM,TLN1,TLN2,TPM1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B,TUBD1,TUBE1,TUBG1,TUBG2,TUBGCP3,TUBGCP4,VILL,VIM,YEATS4
GO:0005201:extracellular matrix structural constituent	136	ABI3BP,ACAN,ADIPOQ,AEBP1,AGRN,ANOS1,BGN,CCN1,CD4,CHI3L1,CILP,COL10A1,COL11A1,COL11A2,COL13A1,COL14A1,COL15A1,COL16A1,COL17A1,COL18A1,COL19A1,COL1A1,COL1A2,COL22A1,COL23A1,COL24A1,COL27A1,COL28A1,COL2A1,COL3A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL5A2,COL5A3,COL8A1,COL8A2,COL9A1,COL9A2,COL9A3,COLQ,COMP,CRELD1,CTHRC1,DPT,DSPP,ECM1,EDIL3,EFEMP1,EFEMP2,ELN,EMILIN1,FBLN1,FBLN2,FBN1,FBN2,FBN3,FGA,FGB,FGG,FGL2,FN1,FRAS1,GP2,HMCN1,HMCN2,IGFBP7,IMPG1,IMPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMB4,LAMC1,LAMC2,LTBP1,LTBP2,LTBP4,LUM,MARCOL,MATN1,MATN2,MATN3,MEGF9,MEPE,MFAP2,MFAP4,MFAP5,MFGE8,MGP,MMRN1,MMRN2,MUC3A,MUC5AC,MUC6,MXRA5,NID1,NID2,NPNT,OPTC,OTOL1,PCOLCE,POSTN,PRELP,PXDN,SBSPON,SPARC,SPON1,SRPX,SRPX2,TECTA,TECTB,TFPI2,TGFBI,THBS1,THBS2,THBS3,THSD4,TINAGL1,TNC,TNXB,UMOD,VTN,VWA1,VWF,ZP3,ZPLD1
GO:0005212:structural constituent of eye lens	23	BFSP1,BFSP2,CPOX,CRYAA,CRYAA2,CRYAB,CRYBA1,CRYBA2,CRYBA4,CRYBB1,CRYBB2,CRYBB3,CRYBG3,CRYGA,CRYGB,CRYGC,CRYGD,CRYGN,CRYGS,HSPB6,LIM2,MIP,VIM
GO:0005215:transporter activity	42	ABCA4,ABCB1,ABCB11,ABCC6,ATP6V0B,ATP6V1C1,CDH17,CLCA3P,CPNE1,CPNE6,CPNE7,F8W735,FLVCR1,FXYD2,GABRA5,IPO7,MFSD12,MFSD2A,MFSD2B,NUP88,NUP98,OCA2,PACSIN2,SCARB1,SEC22A,SLC16A2,SLC23A1,SLC23A2,SLC23A3,SLC26A3,SLC51A,SLC51B,STEAP1,SYN1,TCIRG1,TCOF1,TMEM184A,TMEM184B,TMEM184C,UCP3,VPS9D1,XK
GO:0005216:ion channel activity	27	ASIC4,CHRNA1,CHRNA7,GJC1,GJD3,KCNK3,MCUB,P2RX5,SCNN1G,SLC9C1,TMC1,TMC2,TMC3,TMC4,TMC5,TMC6,TMC7,TMC8,TMEM120A,TMEM120B,TRPM5,TRPV1,TRPV2,TRPV3,TRPV4,TRPV5,TRPV6
GO:0005219:ryanodine-sensitive calcium-release channel activity	4	FKBP1B,RYR1,RYR2,RYR3
GO:0005220:inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	3	ITPR1,ITPR2,ITPR3
GO:0005222:intracellular cAMP-activated cation channel activity	9	CNGA1,CNGA2,CNGA3,CNGA4,CNGB1,CNGB3,HCN1,HCN2,HCN4
GO:0005223:intracellular cGMP-activated cation channel activity	7	AQP1,CNGA1,CNGA2,CNGA3,CNGA4,CNGB1,CNGB3
GO:0005225:volume-sensitive anion channel activity	8	LRRC28,LRRC8A,LRRC8B,LRRC8C,LRRC8D,LRRC8E,PHLPP1,PHLPP2
GO:0005227:calcium activated cation channel activity	14	ANO1,ANO10,ANO6,CALHM1,CATSPER1,CATSPER2,CATSPER4,PKD2L1,TMEM63A,TMEM63B,TMEM63C,TRPM3,TRPM4,TRPM5
GO:0005228:intracellular sodium activated potassium channel activity	2	KCNT1,KCNT2
GO:0005229:intracellular calcium activated chloride channel activity	17	ANO1,ANO10,ANO2,ANO3,ANO4,ANO5,ANO6,ANO7,ANO8,ANO9,CLCA1,CLCA2,CLCA4,NMUR2,TTYH1,TTYH2,TTYH3
GO:0005230:extracellular ligand-gated ion channel activity	6	CHRFAM7A,GABRP,GABRQ,GABRR3,TRPV1,ZACN
GO:0005237:inhibitory extracellular ligand-gated ion channel activity	11	GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB2,GABRE,GABRG1,GABRG2,GABRG3
GO:0005242:inward rectifier potassium channel activity	20	KCNE2,KCNH2,KCNJ1,KCNJ10,KCNJ11,KCNJ12,KCNJ13,KCNJ14,KCNJ15,KCNJ16,KCNJ18,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,KCNK1,KCNK6
GO:0005243:gap junction channel activity	22	C9IYK1,GJA1,GJA10,GJA3,GJA4,GJA5,GJA8,GJA9,GJB1,GJB2,GJB3,GJB4,GJB5,GJB6,GJB7,GJC1,GJC2,GJC3,GJD2,GJD3,GJD4,GJE1
GO:0005244:voltage-gated ion channel activity	46	ANO6,CACNA1H,CALHM1,CALHM3,CATSPER2,CLCA3P,CLIC1,CLIC2,CLIC3,CLIC4,CLIC5,CLIC6,CYBB,KCNA3,KCNIP1,KCNIP3,KCNIP4,KCNK10,KCNK12,KCNK13,KCNK15,KCNK16,KCNK17,KCNK4,KCNK7,KCNU1,NALCN,NOX1,PKD2,SCN10A,SCN11A,SCN1A,SCN1B,SCN2A,SCN2B,SCN3A,SCN3B,SCN4A,SCN4B,SCN5A,SCN7A,SCN8A,SCN9A,TMEM109,TMEM37,TRPM5
GO:0005245:voltage-gated calcium channel activity	38	CACHD1,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNA1I,CACNA1S,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7,CACNG8,CALHM1,CATSPER1,CATSPER3,CATSPER4,ITGAV,NCS1,OPRM1,PKD2,RYR1,TMC1,TMC2,TPCN1,TPCN2
GO:0005246:calcium channel regulator activity	36	CABP2,CABP4,CACNB3,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CAV3,CRISP1,GEM,GNB2,GRM2,GRM3,HPCAL4,INAFM1,INAFM2,NPY,NPY2R,NRXN1,NRXN2,PLN,PRKCB,PRKG1,REM1,REM2,RRAD,SGK1,SGK3,SRI,STIM1,STIM2,STIMATE,TMEM110-MUSTN1,TSPAN13,YWHAE
GO:0005247:voltage-gated chloride channel activity	11	ANO1,ANO6,CLCN1,CLCN2,CLCN3,CLCN4,CLCN5,CLCN6,CLCN7,CLCNKA,CLCNKB
GO:0005248:voltage-gated sodium channel activity	21	CACNA1G,CACNA1H,CACNA1I,HCN1,HCN2,HCN3,HCN4,PKD2,SCN10A,SCN11A,SCN1A,SCN1B,SCN2A,SCN3A,SCN4A,SCN4B,SCN5A,SCN7A,SCN8A,SCN9A,TPCN1
GO:0005249:voltage-gated potassium channel activity	62	A0A1W2PPV4,A0A1W2PRG6,HCN1,HCN2,HCN3,HCN4,KCNA1,KCNA10,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNAB1,KCNAB2,KCNAB3,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNE1,KCNE5,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8,KCNJ11,KCNK1,KCNK5,KCNK9,KCNMA1,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2,LRRC26,LRRC38,LRRC52,LRRC55,PKD2,SNAP25
GO:0005250:A-type (transient outward) potassium channel activity	4	KCND1,KCND2,KCND3,KCNIP2
GO:0005251:delayed rectifier potassium channel activity	33	KCNA1,KCNA10,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCNE1,KCNE1B,KCNE2,KCNE3,KCNE4,KCNE5,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS3
GO:0005253:anion channel activity	2	CCT8L2,LRRC8A
GO:0005254:chloride channel activity	63	ANO1,ANO2,ANO3,ANO4,ANO5,ANO6,ANO7,ANO9,APOL1,BEST1,BEST2,BEST3,BEST4,BSND,CFTR,CLCA1,CLCA2,CLCA3P,CLCA4,CLCC1,CLCN3,CLCN4,CLCN5,CLCN7,CLDN17,CLDN4,CLIC1,CLIC2,CLIC3,CLIC4,CLIC5,CLIC6,FXYD1,FXYD3,GABRA1,GABRA2,GABRA3,GABRA4,GABRA5,GABRA6,GABRB2,GABRD,GABRE,GABRG1,GABRG2,GABRG3,GABRP,GABRQ,GABRR1,GABRR2,GABRR3,GLRA1,GLRA2,GLRA3,GLRA4,GLRB,SLC1A4,SLC26A6,SLC26A7,SLC26A8,SLC26A9,TTYH1,TTYH3
