GeneA	GeneB	EdgeWeight
AGRN	FSTL1	0.268
AGRN	GRN	0.218
AGRN	HDGF	0.195
AGRN	HNRNPA1	0.19
AGRN	ITGAV	0.924
AGRN	ITGB1	0.919
AGRN	LRP4	0.995
AGRN	MAP1B	0.321
AGRN	MUSK	0.997
AGRN	MYC	0.199
AGRN	MYH11	0.226
AGRN	MYH14	0.155
AGRN	MYH3	0.186
AGRN	MYH7	0.324
AGRN	MYH8	0.168
AGRN	NCAM1	0.921
AGRN	NCOR2	0.17
AGRN	NID2	0.459
AGRN	OLFM3	0.282
AGRN	PTPRS	0.926
AGRN	SPP1	0.231
AGRN	SYNE1	0.191
AGRN	TNNT1	0.152
AGRN	TTN	0.37
AGRP	BIRC6	0.18
AGRP	FBLN1	0.169
AGRP	KCTD10	0.185
AGRP	MC4R	0.995
AGRP	NHLRC3	0.309
AGRP	NOTCH2	0.228
AGRP	TK1	0.392
AGT	AGTR1	0.996
AGT	AGTR2	0.993
AGT	ANPEP	0.922
AGT	ATP6AP2	0.982
AGT	CANX	0.17
AGT	CMA1	0.983
AGT	CPA3	0.908
AGT	CTSG	0.965
AGT	CTSZ	0.916
AGT	ECE1	0.516
AGT	ENPEP	0.971
AGT	GRB2	0.911
AGT	HSPA5	0.199
AGT	MME	0.968
AGT	NDUFA3	0.219
AGT	REN	0.999
AGT	RIPK4	0.209
AGT	TP53	0.652
AGTPBP1	FBXL13	0.241
AGTPBP1	FOXK1	0.19
AGTPBP1	PHLPP1	0.154
AGTPBP1	PNKP	0.261
AGTPBP1	TMOD1	0.527
AGTPBP1	TTLL4	0.787
AGTR1	AGTRAP	0.818
AGTR1	APLNR	0.908
AGTR1	ARRB1	0.974
AGTR1	ARRB2	0.982
AGTR1	ATP12A	0.221
AGTR1	ATP1B1	0.254
AGTR1	ATP2B3	0.299
AGTR1	ATP2B4	0.235
AGTR1	BDKRB2	0.944
AGTR1	CAV1	0.664
AGTR1	DCX	0.169
AGTR1	GNB2L1	0.503
AGTR1	GRK5	0.979
AGTR1	HTR2B	0.948
AGTR1	JAK2	0.596
AGTR1	MAPK1	0.588
AGTR1	PDE6H	0.288
AGTR1	PTGFR	0.949
AGTR1	PTGS2	0.633
AGTR1	RAB5A	0.94
AGTR1	RAF1	0.427
AGTR1	SETD7	0.222
AGTR1	SLC19A2	0.158
AGTR1	SLC6A8	0.265
AGTR1	THOC7	0.234
AGTR1	TMEM11	0.181
AGTR1	TSPAN15	0.189
AGTR2	AGTRAP	0.634
AGTR2	ERBB3	0.443
AGTR2	MTUS1	0.77
AGTR2	TIMP3	0.651
AGTR2	ZBTB16	0.486
AGTRAP	APOA4	0.185
AGTRAP	ARAF	0.91
AGTRAP	CPLX1	0.234
AGTRAP	CYB5D2	0.214
AGTRAP	ENPP6	0.204
AGTRAP	FGA	0.906
AGTRAP	GDNF	0.539
AGTRAP	GNB2L1	0.932
AGTRAP	HMGB1	0.198
AGTRAP	KCNK5	0.174
AGTRAP	LMNA	0.905
AGTRAP	MBLAC2	0.189
AGTRAP	NDRG4	0.164
AGTRAP	PBX3	0.48
AGTRAP	PITPNC1	0.615
AGTRAP	TMEM14B	0.187
AGXT	BMI1	0.352
AGXT	PEX5	0.952
AGXT2	ALDOB	0.436
AGXT2	CYP2E1	0.166
AHCTF1	IL13RA2	0.183
AHCTF1	LMNA	0.678
AHCTF1	NUP107	0.992
AHCTF1	NUP133	0.994
AHCTF1	NUP160	0.995
AHCTF1	NUP35	0.782
AHCTF1	NUP85	0.985
AHCTF1	NXF1	0.291
AHCTF1	PPP1CC	0.919
AHCTF1	SIRT7	0.16
AHCTF1	SUZ12	0.174
AHCTF1	VAPA	0.163
AHCY	AHCYL1	0.868
AHCY	ALDH4A1	0.474
AHCY	ANKRD40	0.351
AHCY	APPBP2	0.182
AHCY	ATIC	0.651
AHCY	ATP6V1A	0.455
AHCY	CAND1	0.484
AHCY	CAPZB	0.194
AHCY	CDK2	0.208
AHCY	COPS5	0.223
AHCY	CTNNB1	0.161
AHCY	DAB2	0.268
AHCY	DHX15	0.312
AHCY	DYRK1A	0.236
AHCY	EEF1A2	0.245
AHCY	EFTUD2	0.322
AHCY	EWSR1	0.273
AHCY	FH	0.407
AHCY	FOS	0.209
AHCY	FUS	0.156
AHCY	GMPS	0.636
AHCY	GPT2	0.434
AHCY	H2AFV	0.244
AHCY	HDAC5	0.202
AHCY	HDGF	0.244
AHCY	HEXA	0.157
AHCY	HK1	0.39
AHCY	HSPB1	0.443
AHCY	JUP	0.19
AHCY	LDHB	0.57
AHCY	LGALS3	0.232
AHCY	MC1R	0.461
AHCY	MCM2	0.255
AHCY	MYC	0.328
AHCY	MYO6	0.161
AHCY	NEDD8	0.168
AHCY	NME1-NME2	0.656
AHCY	NME2	0.603
AHCY	NSFL1C	0.202
AHCY	PAPSS1	0.495
AHCY	PYGL	0.221
AHCY	SDC1	0.448
AHCY	SERPINB6	0.505
AHCY	SIRT1	0.47
AHCY	TBCE	0.25
AHCY	TLE3	0.39
AHCY	TRAF3IP1	0.226
AHCY	UBA3	0.229
AHCY	XIAP	0.824
AHCY	YWHAQ	0.205
AHCYL1	AHCYL2	0.982
AHCYL1	ANP32A	0.865
AHCYL1	ANP32B	0.628
AHCYL1	ANP32E	0.613
AHCYL1	ATP6V1B2	0.445
AHCYL1	BCL2L10	0.462
AHCYL1	BID	0.177
AHCYL1	C1QBP	0.53
AHCYL1	CAMKV	0.151
AHCYL1	CANX	0.451
AHCYL1	CCT5	0.298
AHCYL1	CD2BP2	0.226
AHCYL1	CDC37	0.508
AHCYL1	CEP72	0.309
AHCYL1	CSNK1E	0.534
AHCYL1	ECHS1	0.432
AHCYL1	EIF3M	0.44
AHCYL1	FAM13C	0.787
AHCYL1	FBXL7	0.4
AHCYL1	GINS4	0.2
AHCYL1	HGS	0.236
AHCYL1	HOXC9	0.535
AHCYL1	HSPA5	0.367
AHCYL1	HSPA6	0.218
AHCYL1	ITPR1	0.984
AHCYL1	ITPR2	0.942
AHCYL1	ITPR3	0.973
AHCYL1	JOSD2	0.243
AHCYL1	KDM6B	0.218
AHCYL1	KIAA1598	0.798
AHCYL1	LAGE3	0.223
AHCYL1	MAB21L3	0.527
AHCYL1	MYL6	0.408
AHCYL1	PDCD6IP	0.227
AHCYL1	PIP4K2A	0.193
AHCYL1	PITX2	0.787
AHCYL1	PLEKHG5	0.478
AHCYL1	PPIL3	0.248
AHCYL1	PPM1G	0.731
AHCYL1	PPP2CA	0.155
AHCYL1	PSAT1	0.311
AHCYL1	PSMD12	0.407
AHCYL1	PSMD4	0.377
AHCYL1	PSMD6	0.432
AHCYL1	PSMD9	0.153
AHCYL1	PSME3	0.423
AHCYL1	PTGES3	0.229
AHCYL1	PTPN14	0.294
AHCYL1	PTPN21	0.297
AHCYL1	PTPN3	0.195
AHCYL1	PTS	0.502
AHCYL1	RPL37A	0.386
AHCYL1	SEC24A	0.24
AHCYL1	SEC24C	0.223
AHCYL1	SEPHS1	0.194
AHCYL1	SERPINH1	0.249
AHCYL1	SGTA	0.217
AHCYL1	SH3BGRL3	0.414
AHCYL1	SIN3A	0.205
AHCYL1	SKP1	0.723
AHCYL1	SNCG	0.4
AHCYL1	SNRPA	0.24
AHCYL1	SNX12	0.402
AHCYL1	SNX3	0.213
AHCYL1	SOD1	0.247
AHCYL1	SOX30	0.217
AHCYL1	SP100	0.386
AHCYL1	SPR	0.215
AHCYL1	SRPK1	0.164
AHCYL1	SRPK2	0.459
AHCYL1	SRSF1	0.291
AHCYL1	SRXN1	0.69
AHCYL1	STAM	0.224
AHCYL1	STAT6	0.197
AHCYL1	STIP1	0.431
AHCYL1	STMN1	0.386
AHCYL1	STMN2	0.209
AHCYL1	STUB1	0.208
AHCYL1	SUGT1	0.25
AHCYL1	SULT1A1	0.798
AHCYL1	SUMO2	0.434
AHCYL1	TACC3	0.454
AHCYL1	TAGLN2	0.431
AHCYL1	TARDBP	0.248
AHCYL1	TBCA	0.386
AHCYL1	TES	0.386
AHCYL1	TGOLN2	0.202
AHCYL1	THADA	0.276
AHCYL1	TKT	0.458
AHCYL1	TLE3	0.386
AHCYL1	TMOD3	0.386
AHCYL1	TOM1L2	0.225
AHCYL1	TPD52L2	0.401
AHCYL1	TPM1	0.317
AHCYL1	TPM2	0.311
AHCYL1	TPM3	0.484
AHCYL1	TRIP6	0.491
AHCYL1	TTC1	0.343
AHCYL1	TTC9C	0.789
AHCYL1	TTLL12	0.517
AHCYL1	TUBB6	0.258
AHCYL1	TXN	0.293
AHCYL1	TYMS	0.333
AHCYL1	UBA2	0.332
AHCYL1	UBA52	0.228
AHCYL1	UBA6	0.247
AHCYL1	UBE2B	0.522
AHCYL1	UBE2C	0.72
AHCYL1	UBE2D1	0.234
AHCYL1	UBE2D2	0.435
AHCYL1	UBE2L3	0.226
AHCYL1	UBE2V1	0.244
AHCYL1	UBE4B	0.312
AHCYL1	UBL7	0.253
AHCYL1	UBQLN1	0.319
AHCYL1	UBQLN4	0.804
AHCYL1	UBXN1	0.242
AHCYL1	UCHL3	0.241
AHCYL1	UFC1	0.224
AHCYL1	UFM1	0.359
AHCYL1	USP34	0.798
AHCYL1	USP9X	0.284
AHCYL1	VPS26A	0.247
AHCYL1	VPS4B	0.447
AHCYL1	YAP1	0.244
AHCYL1	ZC3H3	0.159
AHCYL1	ZFYVE19	0.744
AHCYL1	ZNF444	0.18
AHCYL1	ZPR1	0.246
AHCYL1	ZRANB2	0.529
AHCYL1	ZYX	0.229
AHCYL2	ANP32B	0.517
AHCYL2	ANP32E	0.498
AHCYL2	ARSI	0.223
AHCYL2	CAB39	0.331
AHCYL2	CLK4	0.45
AHCYL2	CSNK1E	0.535
AHCYL2	EEF1D	0.184
AHCYL2	EFTUD2	0.218
AHCYL2	FAM13C	0.303
AHCYL2	HOXB6	0.177
AHCYL2	HOXC9	0.177
AHCYL2	MSL1	0.177
AHCYL2	NFKBIL1	0.254
AHCYL2	PIP4K2A	0.156
AHCYL2	PITX2	0.303
AHCYL2	PSMD4	0.423
AHCYL2	PTPN21	0.297
AHCYL2	RPL17	0.438
AHCYL2	RPS8	0.513
AHCYL2	TGOLN2	0.194
AHCYL2	UNKL	0.234
AHCYL2	ZIC2	0.15
AHCYL2	ZNHIT6	0.227
AHDC1	DOK5	0.183
AHDC1	SCAI	0.312
AHDC1	SENP7	0.158
AHDC1	TRIM68	0.163
AHDC1	UBR3	0.224
AHI1	CC2D2A	0.99
AHI1	CEP131	0.901
AHI1	DCTN1	0.27
AHI1	DCTN2	0.926
AHI1	DNM2	0.437
AHI1	DOCK5	0.245
AHI1	DVL1	0.264
AHI1	HAP1	0.839
AHI1	HAUS8	0.901
AHI1	IQCB1	0.969
AHI1	KHDRBS1	0.286
AHI1	NINL	0.914
AHI1	NPHP1	0.995
AHI1	OFD1	0.967
AHI1	PAFAH1B1	0.915
AHI1	PCM1	0.913
AHI1	PIBF1	0.155
AHI1	PPP2CA	0.154
AHI1	PPP2R1A	0.912
AHI1	PPP2R2A	0.156
AHI1	PPP2R2B	0.156
AHI1	WRAP73	0.203
AHNAK	ALPPL2	0.158
AHNAK	ARHGDIA	0.38
AHNAK	ASNS	0.425
AHNAK	ATP4A	0.246
AHNAK	BRCA1	0.185
AHNAK	CAPZA2	0.219
AHNAK	CCT5	0.412
AHNAK	CDC42	0.492
AHNAK	CDC5L	0.98
AHNAK	CDH1	0.239
AHNAK	CUL7	0.151
AHNAK	DMD	0.581
AHNAK	EEF1A1	0.375
AHNAK	EEF1B2	0.812
AHNAK	EEF1D	0.429
AHNAK	EEF2	0.42
AHNAK	EGFR	0.286
AHNAK	ESR1	0.175
AHNAK	EZR	0.524
AHNAK	FLNB	0.474
AHNAK	FMNL1	0.224
AHNAK	FN1	0.22
AHNAK	GALK2	0.167
AHNAK	GORASP2	0.412
AHNAK	GPR141	0.185
AHNAK	GRB2	0.179
AHNAK	GRPEL1	0.416
AHNAK	HNRNPAB	0.406
AHNAK	HNRNPD	0.418
AHNAK	HNRNPDL	0.412
AHNAK	HNRNPH1	0.363
AHNAK	HSD17B3	0.167
AHNAK	HSPA5	0.181
AHNAK	HSPA9	0.363
AHNAK	HSPB1	0.412
AHNAK	JSRP1	0.507
AHNAK	KLHL40	0.305
AHNAK	LASP1	0.452
AHNAK	LIMA1	0.256
AHNAK	MYC	0.53
AHNAK	MYH9	0.389
AHNAK	MYL6	0.439
AHNAK	NOL9	0.252
AHNAK	OXCT1	0.412
AHNAK	PLEC	0.557
AHNAK	PMS1	0.177
AHNAK	POLH	0.189
AHNAK	PPIP5K2	0.179
AHNAK	PPP3CB	0.175
AHNAK	PSME3	0.416
AHNAK	PYCR2	0.248
AHNAK	RUVBL1	0.46
AHNAK	S100A10	0.992
AHNAK	S100B	0.719
AHNAK	SEC16A	0.433
AHNAK	STIP1	0.374
AHNAK	STMN1	0.426
AHNAK	TARS	0.418
AHNAK	TP53	0.211
AHNAK	TXNIP	0.282
AHNAK	USP14	0.242
AHNAK	VARS	0.429
AHNAK	YARS	0.416
AHNAK2	ANXA2	0.339
AHNAK2	C1QL4	0.153
AHNAK2	CYB5B	0.206
AHNAK2	DUSP23	0.177
AHNAK2	DYNC1I2	0.381
AHNAK2	DYRK1A	0.226
AHNAK2	FKBP11	0.228
AHNAK2	GABARAPL1	0.173
AHNAK2	GABARAPL2	0.211
AHNAK2	IGFBP5	0.204
AHNAK2	JSRP1	0.303
AHNAK2	KRT10	0.386
AHNAK2	NAA10	0.379
AHNAK2	NCSTN	0.183
AHNAK2	PYCR2	0.245
AHNAK2	TNFAIP8L2	0.455
AHNAK2	USP14	0.199
AHR	AIP	0.985
AHR	AR	0.736
AHR	ARNT	0.989
AHR	ARNT2	0.989
AHR	ARNTL	0.658
AHR	BRCA1	0.538
AHR	CCNT1	0.404
AHR	COPS5	0.388
AHR	CTNNB1	0.573
AHR	CUL4B	0.43
AHR	CYP1B1	0.943
AHR	DAP3	0.347
AHR	DDB1	0.294
AHR	E2F1	0.174
AHR	EP300	0.609
AHR	ESR1	0.888
AHR	FHL2	0.47
AHR	FOXA1	0.569
AHR	GNA13	0.294
AHR	GTF2F1	0.313
AHR	GTF2F2	0.313
AHR	HSP90AA1	0.989
AHR	HSP90AB1	0.973
AHR	IVNS1ABP	0.449
AHR	KIAA1683	0.185
AHR	MAF	0.871
AHR	MED1	0.231
AHR	NCOA1	0.598
AHR	NCOA2	0.588
AHR	NCOA7	0.422
AHR	NCOR2	0.516
AHR	NEDD8	0.45
AHR	NFE2L2	0.834
AHR	NR2F1	0.498
AHR	NRIP1	0.717
AHR	PTGES3	0.974
AHR	RB1	0.513
AHR	RBX1	0.175
AHR	RELA	0.597
AHR	SIRT6	0.252
AHR	SLC7A5	0.19
AHR	SMAD4	0.46
AHR	SMARCA4	0.449
AHR	SP1	0.544
AHR	STUB1	0.513
AHR	TAF4	0.313
AHR	TAF6	0.313
AHR	TAF9	0.313
AHR	TBP	0.422
AHR	TSPYL6	0.187
AHR	VIM	0.396
AHR	XPO1	0.412
AHRR	ANKRA2	0.673
AHRR	ARNT	0.966
AHRR	ARNT2	0.94
AHRR	ESR1	0.498
AHRR	HDAC4	0.523
AHRR	HDAC5	0.532
AHSA1	AKT1	0.443
AHSA1	ARF1	0.427
AHSA1	ASNS	0.363
AHSA1	ATP5C1	0.414
AHSA1	BET1	0.181
AHSA1	CCND1	0.223
AHSA1	CCT2	0.6
AHSA1	CCT3	0.795
AHSA1	CCT4	0.431
AHSA1	CCT6A	0.571
AHSA1	CCT6B	0.758
AHSA1	CCT8	0.595
AHSA1	CDC37	0.856
AHSA1	CDK20	0.351
AHSA1	CDK9	0.229
AHSA1	CFTR	0.733
AHSA1	CHORDC1	0.561
AHSA1	CIRBP	0.244
AHSA1	CLCN1	0.313
AHSA1	CLTCL1	0.41
AHSA1	DDX39A	0.497
AHSA1	DDX39B	0.473
AHSA1	DDX3X	0.264
AHSA1	DNAJA1	0.796
AHSA1	DNAJA4	0.644
AHSA1	DNAJB4	0.804
AHSA1	DPF3	0.373
AHSA1	EEF1A1	0.218
AHSA1	EGFR	0.232
AHSA1	EIF3B	0.255
AHSA1	EIF3G	0.213
AHSA1	EIF3L	0.166
AHSA1	EIF4B	0.311
AHSA1	EIF4E	0.204
AHSA1	EIF4H	0.242
AHSA1	ENO1	0.218
AHSA1	EPRS	0.417
AHSA1	FASN	0.72
AHSA1	FAU	0.189
AHSA1	FKBP4	0.788
AHSA1	FKBP5	0.534
AHSA1	FKBPL	0.369
AHSA1	FLCN	0.285
AHSA1	GALE	0.478
AHSA1	GCH1	0.351
AHSA1	GFPT1	0.38
AHSA1	GFPT2	0.434
AHSA1	GINS2	0.254
AHSA1	GNB2L1	0.292
AHSA1	GSR	0.235
AHSA1	HNRNPA1	0.184
AHSA1	HNRNPA2B1	0.222
AHSA1	HSD17B12	0.363
AHSA1	HSP90AA1	0.996
AHSA1	HSP90AB1	0.98
AHSA1	HSPA1A	0.571
AHSA1	HSPA5	0.447
AHSA1	HSPA8	0.789
AHSA1	HSPD1	0.801
AHSA1	HSPE1	0.786
AHSA1	IARS	0.442
AHSA1	IDH3G	0.419
AHSA1	IMPDH2	0.169
AHSA1	IQGAP1	0.241
AHSA1	KPNA4	0.391
AHSA1	LDHA	0.229
AHSA1	LDHB	0.435
AHSA1	MAPT	0.167
AHSA1	MCM2	0.192
AHSA1	MCM7	0.177
AHSA1	NMD3	0.398
AHSA1	PGD	0.172
AHSA1	PHB	0.16
AHSA1	PKN2	0.241
AHSA1	PLK1	0.171
AHSA1	POM121	0.216
AHSA1	PPID	0.866
AHSA1	PPM1G	0.447
AHSA1	PPP5C	0.453
AHSA1	PRDX6	0.154
AHSA1	PRKDC	0.26
AHSA1	PRMT5	0.281
AHSA1	PROSC	0.16
AHSA1	PRPF19	0.198
AHSA1	PSMC4	0.491
AHSA1	PSMD2	0.351
AHSA1	PTGES3	0.964
AHSA1	RAB1A	0.398
AHSA1	RAB1B	0.395
AHSA1	RABIF	0.416
AHSA1	RAD23B	0.441
AHSA1	RBM10	0.159
AHSA1	RBM39	0.16
AHSA1	RPL11	0.191
AHSA1	RPL13	0.228
AHSA1	RPL17	0.245
AHSA1	RPL22	0.158
AHSA1	RPL23	0.24
AHSA1	RPL31	0.175
AHSA1	RPL38	0.223
AHSA1	RPL6	0.224
AHSA1	RPL9	0.289
AHSA1	RPS10	0.263
AHSA1	RPS11	0.239
AHSA1	RPS13	0.31
AHSA1	RPS14	0.211
AHSA1	RPS15	0.21
AHSA1	RPS15A	0.234
AHSA1	RPS16	0.165
AHSA1	RPS18	0.255
AHSA1	RPS2	0.158
AHSA1	RPS20	0.162
AHSA1	RPS23	0.25
AHSA1	RPS25	0.23
AHSA1	RPS3	0.179
AHSA1	RPS3A	0.174
AHSA1	RPS4X	0.189
AHSA1	RPS7	0.307
AHSA1	SEC13	0.545
AHSA1	SERBP1	0.19
AHSA1	SLC25A6	0.165
AHSA1	SRPK1	0.436
AHSA1	STAT1	0.496
AHSA1	STIP1	0.995
AHSA1	TARS2	0.157
AHSA1	TOMM34	0.403
AHSA1	TOP2A	0.241
AHSA1	TRIM28	0.16
AHSA1	TTC4	0.606
AHSA1	UBA1	0.398
AHSA1	UBTF	0.165
AHSA1	UNC45B	0.626
AHSA1	VIM	0.177
AHSA1	XRCC5	0.283
AHSA1	XRCC6	0.303
AHSA1	ZYX	0.406
AHSA2	HSP90AA1	0.967
AHSG	ALB	0.998
AHSG	CA8	0.192
AHSG	CANX	0.154
AHSG	DCN	0.53
AHSG	EGFR	0.175
AHSG	FBXO2	0.406
AHSG	GDPD1	0.229
AHSG	INSR	0.513
AHSG	KCTD15	0.256
AHSG	MAPK6	0.173
AHSG	POTEF	0.25
AHSG	PPP5C	0.386
AHSG	TNF	0.621
AHSG	USP38	0.534
AHSG	VKORC1	0.172
AHSP	CLVS1	0.539
AHSP	FKBP1A	0.25
AHSP	HBA1	0.987
AHSP	UBE3A	0.23
AHSP	ZC3H12A	0.525
AHSP	ZNF20	0.159
AICDA	CCT7	0.385
AICDA	CPSF3	0.236
AICDA	CTNNBL1	0.63
AICDA	DAZAP2	0.22
AICDA	DDX19B	0.22
AICDA	DDX21	0.221
AICDA	DIS3	0.912
AICDA	DNAJA1	0.445
AICDA	DNAJA2	0.381
AICDA	EEF1A1	0.267
AICDA	EIF2D	0.226
AICDA	EXOSC1	0.898
AICDA	EXOSC10	0.903
AICDA	EXOSC2	0.9
AICDA	EXOSC3	0.925
AICDA	EXOSC4	0.902
AICDA	EXOSC5	0.905
AICDA	EXOSC6	0.9
AICDA	EXOSC7	0.901
AICDA	EXOSC8	0.899
AICDA	EXOSC9	0.204
AICDA	FEN1	0.586
AICDA	GADD45A	0.641
AICDA	HAUS4	0.22
AICDA	HERPUD2	0.22
AICDA	HNRNPA0	0.229
AICDA	HNRNPM	0.22
AICDA	HSPA5	0.22
AICDA	HSPA8	0.376
AICDA	IER5	0.22
AICDA	KPNA1	0.313
AICDA	KPNA2	0.313
AICDA	KPNA4	0.313
AICDA	KPNB1	0.22
AICDA	NEDD4L	0.186
AICDA	NUP93	0.22
AICDA	PCNA	0.183
AICDA	PGAM1	0.237
AICDA	PPP2R1A	0.22
AICDA	PRKACA	0.398
AICDA	PRKAR1A	0.477
AICDA	PRKDC	0.629
AICDA	PSME3	0.379
AICDA	RAD51	0.362
AICDA	RBM39	0.22
AICDA	RNF126	0.395
AICDA	RPA1	0.545
AICDA	RRM2B	0.222
AICDA	RTCB	0.22
AICDA	TDG	0.86
AICDA	TUBB4B	0.392
AICDA	UBE2L3	0.238
AICDA	XPO1	0.424
AICDA	XRN2	0.238
AICDA	ZMIZ2	0.22
AIDA	FAM118A	0.275
AIDA	FSD1	0.183
AIDA	MRE11A	0.377
AIDA	NFKBIA	0.177
AIDA	RPL36A	0.544
AIDA	TNFAIP3	0.188
AIF1L	BAG3	0.188
AIF1L	TSEN15	0.204
AIFM1	AK2	0.31
AIFM1	AMFR	0.166
AIFM1	AMZ1	0.185
AIFM1	APOOL	0.374
AIFM1	ASB12	0.184
AIFM1	ATAD3A	0.332
AIFM1	ATAD3B	0.222
AIFM1	ATP5A1	0.341
AIFM1	ATP5B	0.265
AIFM1	ATP5C1	0.544
AIFM1	ATP5F1	0.163
AIFM1	ATP5H	0.155
AIFM1	ATP5J	0.237
AIFM1	ATP5L	0.408
AIFM1	ATP5O	0.177
AIFM1	BAG3	0.291
AIFM1	BAG6	0.605
AIFM1	BCL2L14	0.18
AIFM1	BCS1L	0.549
AIFM1	BIRC3	0.456
AIFM1	BLNK	0.196
AIFM1	BLVRA	0.239
AIFM1	CHCHD3	0.194
AIFM1	CHCHD4	0.523
AIFM1	CLPB	0.273
AIFM1	CLPP	0.163
AIFM1	CLPX	0.187
AIFM1	COX15	0.467
AIFM1	COX17	0.15
AIFM1	COX4I1	0.377
AIFM1	COX5A	0.204
AIFM1	COX5B	0.154
AIFM1	COX6B1	0.19
AIFM1	COX6C	0.189
AIFM1	CPOX	0.417
AIFM1	CYC1	0.181
AIFM1	CYCS	0.703
AIFM1	DHFR	0.218
AIFM1	DLD	0.593
AIFM1	DNAJA1	0.269
AIFM1	DNAJC11	0.155
AIFM1	DNM1L	0.369
AIFM1	DPF3	0.373
AIFM1	EFTUD2	0.163
AIFM1	EGFR	0.271
AIFM1	EHMT2	0.186
AIFM1	EIF3G	0.396
AIFM1	ENDOG	0.965
AIFM1	ESR1	0.194
AIFM1	ETFA	0.343
AIFM1	FAM91A1	0.552
AIFM1	FDXR	0.284
AIFM1	FH	0.157
AIFM1	FSCN1	0.386
AIFM1	GFER	0.222
AIFM1	GLUD1	0.243
AIFM1	GRPEL1	0.201
AIFM1	GSR	0.902
AIFM1	H2AFX	0.734
AIFM1	HAGH	0.167
AIFM1	HCCS	0.249
AIFM1	HK1	0.343
AIFM1	HSD17B10	0.317
AIFM1	HSPA1A	0.526
AIFM1	HSPA9	0.532
AIFM1	HSPB1	0.259
AIFM1	HSPE1	0.227
AIFM1	HTRA2	0.583
AIFM1	IDH2	0.239
AIFM1	IMMT	0.158
AIFM1	KANK2	0.55
AIFM1	MAP3K5	0.389
AIFM1	MEX3C	0.229
AIFM1	MLH1	0.201
AIFM1	MRPL18	0.363
AIFM1	MRPS22	0.539
AIFM1	MTHFD1L	0.223
AIFM1	MTX2	0.245
AIFM1	NDUFA13	0.218
AIFM1	NDUFA5	0.189
AIFM1	NDUFA8	0.222
AIFM1	NDUFA9	0.251
AIFM1	NDUFAF4	0.247
AIFM1	NDUFB11	0.301
AIFM1	NDUFS1	0.404
AIFM1	NDUFS2	0.239
AIFM1	NDUFS3	0.264
AIFM1	NDUFS5	0.801
AIFM1	NDUFS8	0.362
AIFM1	NDUFV1	0.304
AIFM1	NDUFV2	0.335
AIFM1	OPA1	0.376
AIFM1	OXSR1	0.695
AIFM1	PARK2	0.306
AIFM1	PDHA1	0.627
AIFM1	PGAM5	0.429
AIFM1	PHB	0.368
AIFM1	PIDD1	0.316
AIFM1	PMS2	0.201
AIFM1	PPEF1	0.184
AIFM1	PPIF	0.528
AIFM1	PPTC7	0.326
AIFM1	PRDX5	0.271
AIFM1	PTPN12	0.158
AIFM1	RHOT2	0.294
AIFM1	RYK	0.167
AIFM1	SCO2	0.289
AIFM1	SDHA	0.401
AIFM1	SFXN1	0.373
AIFM1	SGPL1	0.236
AIFM1	SHC1	0.158
AIFM1	SHMT2	0.244
AIFM1	SLC20A2	0.267
AIFM1	SLC25A11	0.78
AIFM1	SLC25A23	0.177
AIFM1	SLC25A3	0.398
AIFM1	SLC25A5	0.607
AIFM1	SOAT1	0.372
AIFM1	SPG20	0.288
AIFM1	THAP4	0.549
AIFM1	TIMM10	0.59
AIFM1	TIMM44	0.356
AIFM1	TIMM50	0.162
AIFM1	TIMM8A	0.183
AIFM1	TIMM8B	0.23
AIFM1	TMEM126B	0.235
AIFM1	TOMM22	0.43
AIFM1	TOMM40	0.834
AIFM1	TOMM70A	0.289
AIFM1	TONSL	0.26
AIFM1	TOR1AIP1	0.187
AIFM1	TPI1	0.22
AIFM1	TSC22D4	0.34
AIFM1	TST	0.463
AIFM1	TUBA3E	0.907
AIFM1	TUFM	0.723
AIFM1	TXN	0.365
AIFM1	UBASH3A	0.392
AIFM1	UBE2N	0.179
AIFM1	UQCRC1	0.466
AIFM1	UQCRC2	0.473
AIFM1	UQCRH	0.289
AIFM1	VDAC1	0.277
AIFM1	VDAC2	0.303
AIFM1	XIAP	0.657
AIFM1	XRCC1	0.186
AIFM1	YME1L1	0.21
AIFM1	ZNF462	0.183
AIFM2	CNPY4	0.533
AIFM2	NDUFA4	0.201
AIFM2	TP53	0.931
AIFM3	FDPS	0.426
AIFM3	LZTR1	0.778
AIFM3	NMT1	0.391
AIFM3	NMT2	0.468
AIFM3	PGK2	0.285
AIFM3	PPIF	0.47
AIG1	APOD	0.216
AIG1	BIK	0.188
AIG1	GLP1R	0.26
AIG1	RCHY1	0.494
AIG1	SEC22B	0.252
AIG1	THBD	0.296
AIG1	VIPR2	0.189
AIM1	CD44	0.181
AIM1	IL31RA	0.177
AIM1	PYHIN1	0.229
AIM1	ZNF829	0.403
AIM2	CASP1	0.992
AIM2	PYCARD	0.988
AIM2	SQSTM1	0.51
AIM2	TRIM11	0.553
AIMP1	AIMP2	0.999
AIMP1	ATP6V1F	0.403
AIMP1	CCAR2	0.152
AIMP1	CIAPIN1	0.873
AIMP1	COPS5	0.171
AIMP1	CORO1C	0.452
AIMP1	DARS	0.996
AIMP1	DLD	0.165
AIMP1	DNAJA1	0.316
AIMP1	EEF1E1	0.999
AIMP1	EFTUD2	0.233
AIMP1	EIF2S1	0.552
AIMP1	EIF2S3	0.617
